date,time,final_score,goals,country,league,home,away
11. september 2021,15:00,3:0,"{'8': 'home', '46': 'home', '82': 'home'}",england,championship,afc-bournemouth,barnsley-fc
9. february 2022,19:45,3:1,"{'17': 'home', '31': 'home', '69': 'away', '76': 'home'}",england,championship,afc-bournemouth,birmingham-city
11. december 2021,15:00,0:2,"{'21': 'away', '65': 'away'}",england,championship,afc-bournemouth,blackburn-rovers
21. august 2021,15:00,2:2,"{'6': 'home', '19': 'home', '57': 'away', '60': 'away'}",england,championship,afc-bournemouth,blackpool-fc
2. april 2022,15:00,3:2,"{'4': 'away', '40': 'home', '52': 'home', '81': 'home', '90': 'away'}",england,championship,afc-bournemouth,bristol-city
30. december 2021,19:45,3:0,"{'25': 'home', '68': 'home', '83': 'home'}",england,championship,afc-bournemouth,cardiff-city
27. november 2021,15:00,2:2,"{'45': 'home', '66': 'home', '85': 'away', '90': 'away'}",england,championship,afc-bournemouth,coventry-city
12. march 2022,15:00,2:0,"{'45': 'home', '90': 'home'}",england,championship,afc-bournemouth,derby-county
23. april 2022,15:00,1:1,"{'56': 'away', '90': 'home'}",england,championship,afc-bournemouth,fulham-fc
23. october 2021,15:00,3:0,"{'10': 'home', '21': 'home', '64': 'home'}",england,championship,afc-bournemouth,huddersfield-town
22. january 2022,15:00,0:1,{'77': 'away'},england,championship,afc-bournemouth,hull-city
25. september 2021,15:00,2:1,"{'17': 'home', '31': 'home', '64': 'away'}",england,championship,afc-bournemouth,luton-town
15. april 2022,15:00,0:0,,england,championship,afc-bournemouth,middlesbrough-fc
7. may 2022,12:30,1:0,{'81': 'home'},england,championship,afc-bournemouth,millwall-fc
3. may 2022,19:00,1:0,{'83': 'home'},england,championship,afc-bournemouth,nottingham-forest
8. march 2022,19:45,1:1,"{'30': 'away', '52': 'home'}",england,championship,afc-bournemouth,peterborough-united
3. november 2021,19:45,1:2,"{'52': 'away', '60': 'home', '78': 'away'}",england,championship,afc-bournemouth,preston-north-end
14. september 2021,19:45,2:1,"{'12': 'home', '37': 'home', '57': 'away'}",england,championship,afc-bournemouth,queens-park-rangers
15. march 2022,19:45,1:1,"{'8': 'home', '83': 'away'}",england,championship,afc-bournemouth,reading-fc
2. october 2021,15:00,2:1,"{'56': 'away', '62': 'home', '65': 'home'}",england,championship,afc-bournemouth,sheffield-united
26. february 2022,15:00,2:1,"{'20': 'away', '83': 'home', '89': 'home'}",england,championship,afc-bournemouth,stoke-city
6. november 2021,15:00,4:0,"{'26': 'home', '49': 'home', '64': 'home', '90': 'home'}",england,championship,afc-bournemouth,swansea-city
6. august 2021,19:45,2:2,"{'12': 'home', '33': 'away', '52': 'home', '67': 'away'}",england,championship,afc-bournemouth,west-bromwich-albion
29. january 2022,15:00,0:1,{'12': 'away'},england,championship,barnsley-fc,afc-bournemouth
28. august 2021,15:00,1:1,"{'6': 'home', '33': 'away'}",england,championship,barnsley-fc,birmingham-city
18. september 2021,15:00,0:0,,england,championship,barnsley-fc,blackburn-rovers
26. april 2022,19:45,0:2,"{'39': 'away', '66': 'away'}",england,championship,barnsley-fc,blackpool-fc
15. march 2022,19:45,2:0,"{'10': 'home', '21': 'home'}",england,championship,barnsley-fc,bristol-city
2. february 2022,19:45,0:1,{'71': 'away'},england,championship,barnsley-fc,cardiff-city
14. august 2021,15:00,1:0,{'39': 'home'},england,championship,barnsley-fc,coventry-city
3. november 2021,19:45,2:1,"{'24': 'away', '39': 'home', '50': 'home'}",england,championship,barnsley-fc,derby-county
12. march 2022,12:30,1:1,"{'44': 'home', '86': 'away'}",england,championship,barnsley-fc,fulham-fc
4. december 2021,15:00,1:1,"{'33': 'away', '45': 'home'}",england,championship,barnsley-fc,huddersfield-town
6. november 2021,15:00,0:2,"{'33': 'away', '75': 'away'}",england,championship,barnsley-fc,hull-city
17. august 2021,19:45,0:1,{'4': 'away'},england,championship,barnsley-fc,luton-town
26. february 2022,15:00,3:2,"{'7': 'home', '16': 'home', '54': 'home', '61': 'away', '90': 'away'}",england,championship,barnsley-fc,middlesbrough-fc
2. october 2021,15:00,0:1,{'89': 'away'},england,championship,barnsley-fc,millwall-fc
29. september 2021,19:45,1:3,"{'20': 'home', '61': 'away', '68': 'away', '82': 'away'}",england,championship,barnsley-fc,nottingham-forest
18. april 2022,15:00,0:2,"{'25': 'away', '75': 'away'}",england,championship,barnsley-fc,peterborough-united
30. april 2022,12:30,1:3,"{'17': 'home', '23': 'away', '54': 'away', '74': 'away'}",england,championship,barnsley-fc,preston-north-end
12. february 2022,15:00,1:0,{'74': 'home'},england,championship,barnsley-fc,queens-park-rangers
2. april 2022,15:00,1:1,"{'5': 'home', '82': 'away'}",england,championship,barnsley-fc,reading-fc
24. october 2021,12:30,2:3,"{'51': 'away', '53': 'away', '72': 'away', '78': 'home', '82': 'home'}",england,championship,barnsley-fc,sheffield-united
8. march 2022,19:45,1:1,"{'70': 'home', '90': 'away'}",england,championship,barnsley-fc,stoke-city
24. november 2021,19:45,0:2,"{'74': 'away', '79': 'away'}",england,championship,barnsley-fc,swansea-city
17. december 2021,19:45,0:0,,england,championship,barnsley-fc,west-bromwich-albion
18. august 2021,19:45,0:2,"{'77': 'away', '87': 'away'}",england,championship,birmingham-city,afc-bournemouth
22. january 2022,15:00,2:1,"{'34': 'home', '51': 'home', '87': 'away'}",england,championship,birmingham-city,barnsley-fc
7. may 2022,12:30,1:2,"{'29': 'away', '45': 'away', '78': 'home'}",england,championship,birmingham-city,blackburn-rovers
27. november 2021,15:00,1:0,{'81': 'home'},england,championship,birmingham-city,blackpool-fc
2. november 2021,19:45,3:0,"{'14': 'home', '67': 'home', '76': 'home'}",england,championship,birmingham-city,bristol-city
11. december 2021,15:00,2:2,"{'29': 'home', '45': 'home', '66': 'away', '90': 'away'}",england,championship,birmingham-city,cardiff-city
15. april 2022,15:00,2:4,"{'12': 'home', '39': 'home', '40': 'away', '45': 'away', '71': 'away', '90': 'away'}",england,championship,birmingham-city,coventry-city
10. september 2021,20:00,2:0,"{'31': 'home', '81': 'home'}",england,championship,birmingham-city,derby-county
15. september 2021,19:45,1:4,"{'10': 'away', '44': 'away', '54': 'away', '83': 'away', '87': 'home'}",england,championship,birmingham-city,fulham-fc
26. february 2022,15:00,0:2,"{None: 'away', '44': 'away'}",england,championship,birmingham-city,huddersfield-town
12. march 2022,15:00,0:0,,england,championship,birmingham-city,hull-city
12. february 2022,15:00,3:0,"{'25': 'home', '46': 'home', '69': 'home'}",england,championship,birmingham-city,luton-town
15. march 2022,19:45,0:2,"{'23': 'away', '62': 'away'}",england,championship,birmingham-city,middlesbrough-fc
23. april 2022,15:00,2:2,"{'47': 'home', '68': 'away', '79': 'home', '90': 'away'}",england,championship,birmingham-city,millwall-fc
2. october 2021,15:00,0:3,"{'11': 'away', '29': 'away', '53': 'away'}",england,championship,birmingham-city,nottingham-forest
25. january 2022,19:45,2:2,"{'16': 'away', '67': 'away', '85': 'home', '88': 'home'}",england,championship,birmingham-city,peterborough-united
25. september 2021,15:00,0:0,,england,championship,birmingham-city,preston-north-end
2. january 2022,14:00,1:2,"{'14': 'away', '71': 'away', '75': 'home'}",england,championship,birmingham-city,queens-park-rangers
6. november 2021,15:30,1:2,"{'3': 'home', '70': 'away', '82': 'away'}",england,championship,birmingham-city,reading-fc
4. february 2022,19:45,1:2,"{'61': 'home', '64': 'away', '74': 'away'}",england,championship,birmingham-city,sheffield-united
14. august 2021,15:00,0:0,,england,championship,birmingham-city,stoke-city
23. october 2021,15:00,2:1,"{'47': 'home', '77': 'away', '82': 'home'}",england,championship,birmingham-city,swansea-city
3. april 2022,15:00,1:0,{'67': 'home'},england,championship,birmingham-city,west-bromwich-albion
30. april 2022,15:00,0:3,"{'21': 'away', '70': 'away', '79': 'away'}",england,championship,blackburn-rovers,afc-bournemouth
29. december 2021,19:45,2:1,"{'24': 'home', '45': 'away', '65': 'home'}",england,championship,blackburn-rovers,barnsley-fc
18. december 2021,15:00,4:0,"{'6': 'home', '52': 'home', '60': 'home', '79': 'home'}",england,championship,blackburn-rovers,birmingham-city
9. april 2022,15:00,1:1,"{'10': 'home', '48': 'away'}",england,championship,blackburn-rovers,blackpool-fc
12. march 2022,15:00,0:1,{'90': 'away'},england,championship,blackburn-rovers,bristol-city
25. september 2021,15:00,5:1,"{'24': 'home', '32': 'home', '45': 'home', '53': 'home', '58': 'away', '90': 'home'}",england,championship,blackburn-rovers,cardiff-city
16. october 2021,15:00,2:2,"{'39': 'home', '45': 'home', '62': 'away', '68': 'away'}",england,championship,blackburn-rovers,coventry-city
