date,time,final_score,goals,country,league,home,away,season
2021-10-22,20:00,3:1,"{None: 'home', '45': 'home', '56': 'home', '82': 'away'}",england,premier league,Arsenal,Aston Villa,2021-2022
2022-02-19,15:00,2:1,"{'48': 'home', '79': 'home', '90': 'away'}",england,premier league,Arsenal,Brentford,2021-2022
2022-04-09,15:00,1:2,"{'28': 'away', '66': 'away', '89': 'home'}",england,premier league,Arsenal,Brighton,2021-2022
2022-01-23,14:00,0:0,,england,premier league,Arsenal,Burnley,2021-2022
2021-08-22,16:30,0:2,"{'15': 'away', '35': 'away'}",england,premier league,Arsenal,Chelsea,2021-2022
2021-10-18,20:00,2:2,"{'8': 'home', '50': 'away', '73': 'away', '90': 'home'}",england,premier league,Arsenal,Crystal Palace,2021-2022
2022-05-22,16:00,5:1,"{'27': 'home', '31': 'home', '45': 'away', '56': 'home', '59': 'home', '82': 'home'}",england,premier league,Arsenal,Everton,2021-2022
2022-05-08,14:00,2:1,"{'5': 'home', '10': 'home', '66': 'away'}",england,premier league,Arsenal,Leeds,2021-2022
2022-03-13,16:30,2:0,"{'11': 'home', '59': 'home'}",england,premier league,Arsenal,Leicester,2021-2022
2022-03-16,20:15,0:2,"{'54': 'away', '62': 'away'}",england,premier league,Arsenal,Liverpool,2021-2022
2022-01-01,12:30,1:2,"{'31': 'home', '57': 'away', '90': 'away'}",england,premier league,Arsenal,Man City,2021-2022
2022-04-23,12:30,3:1,"{'3': 'home', '32': 'home', '34': 'away', '70': 'home'}",england,premier league,Arsenal,Man United,2021-2022
2021-11-27,12:30,2:0,"{'56': 'home', '66': 'home'}",england,premier league,Arsenal,Newcastle,2021-2022
2021-09-11,15:00,1:0,{'66': 'home'},england,premier league,Arsenal,Norwich,2021-2022
2021-12-11,15:00,3:0,"{'21': 'home', '27': 'home', '62': 'home'}",england,premier league,Arsenal,Southampton,2021-2022
2021-09-26,16:30,3:1,"{'12': 'home', '27': 'home', '34': 'home', '79': 'away'}",england,premier league,Arsenal,Tottenham,2021-2022
2021-11-07,14:00,1:0,{'56': 'home'},england,premier league,Arsenal,Watford,2021-2022
2021-12-15,20:00,2:0,"{'48': 'home', '87': 'home'}",england,premier league,Arsenal,West Ham,2021-2022
2022-02-24,19:45,2:1,"{'10': 'away', '82': 'home', '90': 'home'}",england,premier league,Arsenal,Wolves,2021-2022
2022-03-19,12:30,0:1,{'30': 'away'},england,premier league,Aston Villa,Arsenal,2021-2022
2021-08-28,15:00,1:1,"{'7': 'away', '13': 'home'}",england,premier league,Aston Villa,Brentford,2021-2022
2021-11-20,15:00,2:0,"{'84': 'home', '89': 'home'}",england,premier league,Aston Villa,Brighton,2021-2022
2022-05-19,20:00,1:1,"{'45': 'away', '48': 'home'}",england,premier league,Aston Villa,Burnley,2021-2022
2021-12-26,17:30,1:3,"{'28': 'home', '34': 'away', '56': 'away', '90': 'away'}",england,premier league,Aston Villa,Chelsea,2021-2022
2022-05-15,14:00,1:1,"{'69': 'home', '81': 'away'}",england,premier league,Aston Villa,Crystal Palace,2021-2022
2021-09-18,17:30,3:0,"{'66': 'home', '69': 'home', '75': 'home'}",england,premier league,Aston Villa,Everton,2021-2022
2022-02-09,20:00,3:3,"{'9': 'away', '30': 'home', '38': 'home', '43': 'home', '45': 'away', '63': 'away'}",england,premier league,Aston Villa,Leeds,2021-2022
2021-12-05,16:30,2:1,"{'14': 'away', '17': 'home', '54': 'home'}",england,premier league,Aston Villa,Leicester,2021-2022
2022-05-10,20:00,1:2,"{'3': 'home', '6': 'away', '65': 'away'}",england,premier league,Aston Villa,Liverpool,2021-2022
2021-12-01,20:15,1:2,"{'27': 'away', '43': 'away', '47': 'home'}",england,premier league,Aston Villa,Man City,2021-2022
