date,time,final_score,goals,country,league,home,away
1. december 2021,18:00,1:3,"{'25': 'away', '45': 'away', '55': 'home', '73': 'away'}",france,ligue 1,angers-sco,as-monaco
26. january 2022,18:00,0:1,{'43': 'away'},france,ligue 1,angers-sco,as-saint-etienne
12. december 2021,14:00,0:1,{'84': 'away'},france,ligue 1,angers-sco,clermont-foot
23. january 2022,14:00,2:1,"{'11': 'away', '26': 'home', '37': 'home'}",france,ligue 1,angers-sco,estac-troyes
21. november 2021,14:00,1:0,{'68': 'home'},france,ligue 1,angers-sco,fc-lorient
3. october 2021,14:00,3:2,"{'10': 'away', '53': 'home', '58': 'away', '65': 'home', '90': 'home'}",france,ligue 1,angers-sco,fc-metz
19. september 2021,14:00,1:4,"{'3': 'away', '6': 'away', '10': 'home', '23': 'away', '79': 'away'}",france,ligue 1,angers-sco,fc-nantes
8. may 2022,14:00,4:1,"{'5': 'home', '36': 'home', '60': 'away', '62': 'home', '90': 'home'}",france,ligue 1,angers-sco,girondins-bordeaux
10. april 2022,14:00,1:1,"{'64': 'home', '74': 'away'}",france,ligue 1,angers-sco,lille-osc
21. may 2022,20:00,2:0,"{'45': 'home', '67': 'home'}",france,ligue 1,angers-sco,montpellier-hsc
31. october 2021,12:00,1:2,"{'29': 'home', '57': 'away', '90': 'away'}",france,ligue 1,angers-sco,ogc-nice
15. august 2021,12:00,3:0,"{'20': 'home', '53': 'home', '77': 'home'}",france,ligue 1,angers-sco,olympique-lyon
22. september 2021,20:00,0:0,,france,ligue 1,angers-sco,olympique-marseille
20. april 2022,20:00,0:3,"{'28': 'away', '45': 'away', '77': 'away'}",france,ligue 1,angers-sco,paris-saint-germain
27. february 2022,14:00,1:2,"{'49': 'home', '73': 'away', '76': 'away'}",france,ligue 1,angers-sco,rc-lens
13. february 2022,14:00,0:1,{'11': 'away'},france,ligue 1,angers-sco,rc-strasbourg
20. march 2022,14:00,1:0,{'39': 'home'},france,ligue 1,angers-sco,stade-brest
13. march 2022,14:00,0:1,{'24': 'away'},france,ligue 1,angers-sco,stade-reims
29. august 2021,14:00,2:0,"{'57': 'home', '88': 'home'}",france,ligue 1,angers-sco,stade-rennes
1. may 2022,14:00,2:0,"{'42': 'home', '61': 'home'}",france,ligue 1,as-monaco,angers-sco
