date,time,final_score,goals,country,league,home,away,season
2021-11-07,16:30,2:2,"{'7': 'home', '9': 'away', '45': 'away', '86': 'home'}",germany,bundesliga,FC Koln,Union Berlin,2021-2022
2022-04-09,14:30,3:2,"{'14': 'away', '55': 'away', '60': 'home', '78': 'home', '82': 'home'}",germany,bundesliga,FC Koln,Mainz,2021-2022
2022-03-06,16:30,0:1,{'62': 'away'},germany,bundesliga,FC Koln,Hoffenheim,2021-2022
2022-04-23,14:30,3:1,"{'3': 'home', '33': 'away', '43': 'home', '86': 'home'}",germany,bundesliga,FC Koln,Bielefeld,2021-2022
2021-10-24,14:30,2:2,"{'15': 'away', '17': 'away', '63': 'home', '82': 'home'}",germany,bundesliga,FC Koln,Leverkusen,2021-2022
2022-01-15,14:30,0:4,"{'9': 'away', '25': 'away', '62': 'away', '74': 'away'}",germany,bundesliga,FC Koln,Bayern Munich,2021-2022
2021-11-27,14:30,4:1,"{'55': 'home', '74': 'away', '77': 'home', '78': 'home', '90': 'home'}",germany,bundesliga,FC Koln,M'gladbach,2021-2022
2022-03-20,18:30,1:1,"{'8': 'away', '36': 'home'}",germany,bundesliga,FC Koln,Dortmund,2021-2022
2022-02-19,17:30,1:0,{'84': 'home'},germany,bundesliga,FC Koln,Ein Frankfurt,2021-2022
2021-12-10,19:30,0:2,"{'72': 'away', '88': 'away'}",germany,bundesliga,FC Koln,Augsburg,2021-2022
2021-08-15,16:30,3:1,"{'5': 'away', '41': 'home', '52': 'home', '55': 'home'}",germany,bundesliga,FC Koln,Hertha,2021-2022
2021-09-18,17:30,1:1,"{'53': 'home', '71': 'away'}",germany,bundesliga,FC Koln,RB Leipzig,2021-2022
2022-02-05,14:30,1:0,{'23': 'home'},germany,bundesliga,FC Koln,Freiburg,2021-2022
2021-10-01,19:30,3:1,"{'7': 'away', '50': 'home', '55': 'home', '89': 'home'}",germany,bundesliga,FC Koln,Greuther Furth,2021-2022
2021-12-19,16:30,1:0,{'89': 'home'},germany,bundesliga,FC Koln,Stuttgart,2021-2022
2021-08-28,14:30,2:1,"{'82': 'home', '90': 'away'}",germany,bundesliga,FC Koln,Bochum,2021-2022
2022-05-07,14:30,0:1,{'43': 'away'},germany,bundesliga,FC Koln,Wolfsburg,2021-2022
2022-04-01,19:30,1:0,{'49': 'home'},germany,bundesliga,Union Berlin,FC Koln,2021-2022
2022-02-26,14:30,3:1,"{'7': 'home', '56': 'home', '75': 'home', '90': 'away'}",germany,bundesliga,Union Berlin,Mainz,2021-2022
2022-01-15,14:30,2:1,"{'16': 'away', '22': 'home', '73': 'home'}",germany,bundesliga,Union Berlin,Hoffenheim,2021-2022
2021-09-25,14:30,1:0,{'88': 'home'},germany,bundesliga,Union Berlin,Bielefeld,2021-2022
2021-08-14,14:30,1:1,"{'7': 'home', '12': 'away'}",germany,bundesliga,Union Berlin,Leverkusen,2021-2022
2021-10-30,14:30,2:5,"{'15': 'away', '23': 'away', '35': 'away', '43': 'home', '60': 'away', '64': 'home', '79': 'away'}",germany,bundesliga,Union Berlin,Bayern Munich,2021-2022
2021-08-29,14:30,2:1,"{'22': 'home', '41': 'home', '90': 'away'}",germany,bundesliga,Union Berlin,M'gladbach,2021-2022
2022-02-13,14:30,0:3,"{'18': 'away', '25': 'away', '71': 'away'}",germany,bundesliga,Union Berlin,Dortmund,2021-2022
2022-04-17,16:30,2:0,"{'17': 'home', '21': 'home'}",germany,bundesliga,Union Berlin,Ein Frankfurt,2021-2022
2021-09-11,14:30,0:0,,germany,bundesliga,Union Berlin,Augsburg,2021-2022
2021-11-20,17:30,2:0,"{'8': 'home', '30': 'home'}",germany,bundesliga,Union Berlin,Hertha,2021-2022
2021-12-03,19:30,2:1,"{'6': 'home', '13': 'away', '57': 'home'}",germany,bundesliga,Union Berlin,RB Leipzig,2021-2022
