date,time,final_score,goals,country,league,home,away
11. september 2022,14:30,0:1,{'3': 'away'},germany,bundesliga,1-fc-koeln,1-fc-union-berlin
15. april 2023,14:30,1:1,"{'17': 'away', '51': 'home'}",germany,bundesliga,1-fc-koeln,1-fsv-mainz-05
30. october 2022,18:30,1:1,"{'13': 'home', '36': 'away'}",germany,bundesliga,1-fc-koeln,1899-hoffenheim
9. november 2022,17:30,1:2,"{'30': 'home', '65': 'away', '71': 'away'}",germany,bundesliga,1-fc-koeln,bayer-leverkusen
27. may 2023,14:30,1:2,"{'8': 'away', '81': 'home', '89': 'away'}",germany,bundesliga,1-fc-koeln,bayern-muenchen
2. april 2023,14:30,0:0,,germany,bundesliga,1-fc-koeln,bor-moenchengladbach
1. october 2022,14:30,3:2,"{'31': 'away', '53': 'home', '56': 'home', '71': 'home', '78': 'away'}",germany,bundesliga,1-fc-koeln,borussia-dortmund
12. february 2023,16:30,3:0,"{'49': 'home', '71': 'home', '86': 'home'}",germany,bundesliga,1-fc-koeln,eintracht-frankfurt
16. october 2022,14:30,3:2,"{'14': 'away', '47': 'home', '61': 'home', '68': 'away', '81': 'home'}",germany,bundesliga,1-fc-koeln,fc-augsburg
7. august 2022,16:30,3:1,"{'49': 'home', '62': 'home', '76': 'away', '80': 'home'}",germany,bundesliga,1-fc-koeln,fc-schalke-04
12. may 2023,19:30,5:2,"{'8': 'home', '18': 'away', '33': 'away', '39': 'home', '43': 'home', '69': 'home', '81': 'home'}",germany,bundesliga,1-fc-koeln,hertha-bsc
4. february 2023,14:30,0:0,,germany,bundesliga,1-fc-koeln,rb-leipzig
29. april 2023,14:30,0:1,{'53': 'away'},germany,bundesliga,1-fc-koeln,sc-freiburg
28. august 2022,14:30,0:0,,germany,bundesliga,1-fc-koeln,vfb-stuttgart
10. march 2023,19:30,0:2,"{'9': 'away', '76': 'away'}",germany,bundesliga,1-fc-koeln,vfl-bochum
25. february 2023,14:30,0:2,"{'4': 'away', '68': 'away'}",germany,bundesliga,1-fc-koeln,vfl-wolfsburg
21. january 2023,17:30,7:1,"{'9': 'home', '15': 'home', '21': 'home', '30': 'home', '36': 'home', '38': 'away', '54': 'home', '76': 'home'}",germany,bundesliga,1-fc-koeln,werder-bremen
4. march 2023,14:30,0:0,,germany,bundesliga,1-fc-union-berlin,1-fc-koeln
4. february 2023,14:30,2:1,"{'32': 'home', '78': 'away', '84': 'home'}",germany,bundesliga,1-fc-union-berlin,1-fsv-mainz-05
21. january 2023,14:30,3:1,"{'43': 'away', '73': 'home', '89': 'home', '90': 'home'}",germany,bundesliga,1-fc-union-berlin,1899-hoffenheim
29. april 2023,14:30,0:0,,germany,bundesliga,1-fc-union-berlin,bayer-leverkusen
3. september 2022,14:30,1:1,"{'12': 'home', '15': 'away'}",germany,bundesliga,1-fc-union-berlin,bayern-muenchen
30. october 2022,14:30,2:1,"{'33': 'away', '79': 'home', '90': 'home'}",germany,bundesliga,1-fc-union-berlin,bor-moenchengladbach
16. october 2022,16:30,2:0,"{'8': 'home', '21': 'home'}",germany,bundesliga,1-fc-union-berlin,borussia-dortmund
19. march 2023,14:30,2:0,"{'53': 'home', '75': 'home'}",germany,bundesliga,1-fc-union-berlin,eintracht-frankfurt
9. november 2022,19:30,2:2,"{'7': 'home', '8': 'away', '22': 'home', '39': 'away'}",germany,bundesliga,1-fc-union-berlin,fc-augsburg
19. february 2023,14:30,0:0,,germany,bundesliga,1-fc-union-berlin,fc-schalke-04
6. august 2022,14:30,3:1,"{'31': 'home', '50': 'home', '54': 'home', '85': 'away'}",germany,bundesliga,1-fc-union-berlin,hertha-bsc
20. august 2022,17:30,2:1,"{'32': 'home', '38': 'home', '83': 'away'}",germany,bundesliga,1-fc-union-berlin,rb-leipzig
13. may 2023,14:30,4:2,"{'5': 'home', '36': 'home', '38': 'home', '56': 'away', '70': 'away', '80': 'home'}",germany,bundesliga,1-fc-union-berlin,sc-freiburg
1. april 2023,14:30,3:0,"{'51': 'home', '65': 'home', '68': 'home'}",germany,bundesliga,1-fc-union-berlin,vfb-stuttgart
16. april 2023,16:30,1:1,"{'45': 'home', '55': 'away'}",germany,bundesliga,1-fc-union-berlin,vfl-bochum
18. september 2022,14:30,2:0,"{'54': 'home', '77': 'home'}",germany,bundesliga,1-fc-union-berlin,vfl-wolfsburg
27. may 2023,14:30,1:0,{'81': 'home'},germany,bundesliga,1-fc-union-berlin,werder-bremen
21. october 2022,19:30,5:0,"{'11': 'home', '35': 'home', '40': 'home', '73': 'home', '83': 'home'}",germany,bundesliga,1-fsv-mainz-05,1-fc-koeln
14. august 2022,14:30,0:0,,germany,bundesliga,1-fsv-mainz-05,1-fc-union-berlin
4. march 2023,14:30,1:0,{'33': 'home'},germany,bundesliga,1-fsv-mainz-05,1899-hoffenheim
27. august 2022,14:30,0:3,"{'29': 'away', '39': 'away', '41': 'away'}",germany,bundesliga,1-fsv-mainz-05,bayer-leverkusen
22. april 2023,14:30,3:1,"{'29': 'away', '65': 'home', '73': 'home', '79': 'home'}",germany,bundesliga,1-fsv-mainz-05,bayern-muenchen
24. february 2023,19:30,4:0,"{'25': 'home', '49': 'home', '72': 'home', '90': 'home'}",germany,bundesliga,1-fsv-mainz-05,bor-moenchengladbach
25. january 2023,17:30,1:2,"{'2': 'home', '4': 'away', '90': 'away'}",germany,bundesliga,1-fsv-mainz-05,borussia-dortmund
13. november 2022,14:30,1:1,"{'40': 'home', '67': 'away'}",germany,bundesliga,1-fsv-mainz-05,eintracht-frankfurt
11. february 2023,14:30,3:1,"{'21': 'home', '24': 'home', '28': 'away', '52': 'home'}",germany,bundesliga,1-fsv-mainz-05,fc-augsburg
5. may 2023,19:30,2:3,"{'26': 'away', '53': 'home', '60': 'away', '70': 'home', '90': 'away'}",germany,bundesliga,1-fsv-mainz-05,fc-schalke-04
16. september 2022,19:30,1:1,"{'30': 'away', '90': 'home'}",germany,bundesliga,1-fsv-mainz-05,hertha-bsc
8. october 2022,14:30,1:1,"{'45': 'home', '80': 'away'}",germany,bundesliga,1-fsv-mainz-05,rb-leipzig
19. march 2023,18:30,1:1,"{'55': 'away', '90': 'home'}",germany,bundesliga,1-fsv-mainz-05,sc-freiburg
21. may 2023,14:30,1:4,"{'23': 'home', '41': 'away', '64': 'away', '78': 'away', '90': 'away'}",germany,bundesliga,1-fsv-mainz-05,vfb-stuttgart
28. january 2023,14:30,5:2,"{'1': 'home', '18': 'home', '28': 'home', '57': 'home', '70': 'away', None: 'away', '87': 'home'}",germany,bundesliga,1-fsv-mainz-05,vfl-bochum
5. november 2022,14:30,0:3,"{'33': 'away', '70': 'away', '84': 'away'}",germany,bundesliga,1-fsv-mainz-05,vfl-wolfsburg
8. april 2023,14:30,2:2,"{'85': 'home', '87': 'away', '90': 'away'}",germany,bundesliga,1-fsv-mainz-05,werder-bremen
22. april 2023,14:30,1:3,"{'18': 'away', '39': 'away', '90': 'home'}",germany,bundesliga,1899-hoffenheim,1-fc-koeln
20. may 2023,14:30,4:2,"{'22': 'home', '36': 'home', '45': 'away', '90': 'home'}",germany,bundesliga,1899-hoffenheim,1-fc-union-berlin
10. september 2022,14:30,4:1,"{'53': 'home', '69': 'home', '80': 'home', '83': 'away', '90': 'home'}",germany,bundesliga,1899-hoffenheim,1-fsv-mainz-05
11. february 2023,14:30,1:3,"{'6': 'away', '47': 'away', '56': 'away', '77': 'home'}",germany,bundesliga,1899-hoffenheim,bayer-leverkusen
22. october 2022,14:30,0:2,"{'17': 'away', '38': 'away'}",germany,bundesliga,1899-hoffenheim,bayern-muenchen
28. january 2023,14:30,1:4,"{'12': 'away', '37': 'away', '80': 'home', '83': 'away', '90': 'away'}",germany,bundesliga,1899-hoffenheim,bor-moenchengladbach
25. february 2023,14:30,0:1,{None: 'away'},germany,bundesliga,1899-hoffenheim,borussia-dortmund
6. may 2023,14:30,3:1,"{'8': 'home', '41': 'home', '45': 'home', '54': 'away'}",germany,bundesliga,1899-hoffenheim,eintracht-frankfurt
27. august 2022,14:30,1:0,{'38': 'home'},germany,bundesliga,1899-hoffenheim,fc-augsburg
9. april 2023,18:30,2:0,"{'22': 'home', '70': 'home'}",germany,bundesliga,1899-hoffenheim,fc-schalke-04
18. march 2023,14:30,3:1,"{'24': 'home', '37': 'home', '51': 'home', '90': 'away'}",germany,bundesliga,1899-hoffenheim,hertha-bsc
5. november 2022,14:30,1:3,"{'17': 'away', '50': 'home', '57': 'away', '69': 'away'}",germany,bundesliga,1899-hoffenheim,rb-leipzig
18. september 2022,18:30,0:0,,germany,bundesliga,1899-hoffenheim,sc-freiburg
24. january 2023,19:30,2:2,"{'11': 'home', '45': 'away', '77': 'away', '90': 'home'}",germany,bundesliga,1899-hoffenheim,vfb-stuttgart
13. august 2022,14:30,3:2,"{'10': 'away', '12': 'away', '14': 'home', '23': 'home', '88': 'home'}",germany,bundesliga,1899-hoffenheim,vfl-bochum
12. november 2022,14:30,1:2,"{'42': 'home', '45': 'away', '56': 'away'}",germany,bundesliga,1899-hoffenheim,vfl-wolfsburg
7. october 2022,19:30,1:2,"{'18': 'away', '32': 'home', '88': 'away'}",germany,bundesliga,1899-hoffenheim,werder-bremen
5. may 2023,19:30,1:2,"{'14': 'away', '28': 'home', '36': 'away'}",germany,bundesliga,bayer-leverkusen,1-fc-koeln
6. november 2022,14:30,5:0,"{'46': 'home', '56': 'home', '58': 'home', '68': 'home', '76': 'home'}",germany,bundesliga,bayer-leverkusen,1-fc-union-berlin
19. february 2023,18:30,2:3,"{'26': 'away', '32': 'home', '45': 'away', '58': 'home', '82': 'away'}",germany,bundesliga,bayer-leverkusen,1-fsv-mainz-05
20. august 2022,14:30,0:3,"{'9': 'away', '34': 'away', '78': 'away'}",germany,bundesliga,bayer-leverkusen,1899-hoffenheim
19. march 2023,16:30,2:1,"{'22': 'away', '55': 'home', '73': 'home'}",germany,bundesliga,bayer-leverkusen,bayern-muenchen
21. may 2023,18:30,2:2,"{'15': 'home', '20': 'home', '58': 'away', '90': 'away'}",germany,bundesliga,bayer-leverkusen,bor-moenchengladbach
29. january 2023,16:30,0:2,"{'33': 'away', '53': 'away'}",germany,bundesliga,bayer-leverkusen,borussia-dortmund
8. april 2023,14:30,3:1,"{'10': 'home', '34': 'home', '74': 'away', '90': 'home'}",germany,bundesliga,bayer-leverkusen,eintracht-frankfurt
13. august 2022,14:30,1:2,"{'15': 'away', '43': 'home', '82': 'away'}",germany,bundesliga,bayer-leverkusen,fc-augsburg
8. october 2022,14:30,4:0,"{'38': 'home', '41': 'home', '53': 'home', '90': 'home'}",germany,bundesliga,bayer-leverkusen,fc-schalke-04
5. march 2023,14:30,4:1,"{'12': 'home', '21': 'home', '60': 'home', '67': 'away', '73': 'home'}",germany,bundesliga,bayer-leverkusen,hertha-bsc
