date,time,final_score,goals,country,league,home,away
1. may 2022,14:00,1:0,{'82': 'home'},italy,serie a,ac-milan,acf-fiorentina
6. january 2022,17:30,3:1,"{'8': 'home', '17': 'home', '40': 'away', '82': 'home'}",italy,serie a,ac-milan,as-roma
15. may 2022,17:00,2:0,"{'56': 'home', '75': 'home'}",italy,serie a,ac-milan,atalanta
4. april 2022,19:45,0:0,,italy,serie a,ac-milan,bologna-fc
29. august 2021,19:45,4:1,"{'12': 'home', '15': 'away', '17': 'home', '24': 'home', '43': 'home'}",italy,serie a,ac-milan,cagliari-calcio
12. march 2022,19:45,1:0,{'19': 'home'},italy,serie a,ac-milan,empoli-fc
15. april 2022,20:00,2:0,"{'11': 'home', '87': 'home'}",italy,serie a,ac-milan,genoa-cfc
16. october 2021,19:45,3:2,"{'7': 'away', '24': 'away', '59': 'home', '76': 'home', '78': 'home'}",italy,serie a,ac-milan,hellas-verona
7. november 2021,19:45,1:1,"{'11': 'away', '17': 'home'}",italy,serie a,ac-milan,inter
23. january 2022,19:45,0:0,,italy,serie a,ac-milan,juventus
12. september 2021,17:00,2:0,"{'45': 'home', '67': 'home'}",italy,serie a,ac-milan,lazio-roma
13. february 2022,11:30,1:0,{'8': 'home'},italy,serie a,ac-milan,sampdoria
28. november 2021,14:00,1:3,"{'21': 'home', '24': 'away', '33': 'away', '66': 'away'}",italy,serie a,ac-milan,sassuolo-calcio
17. january 2022,17:30,1:2,"{'45': 'home', '64': 'away', '90': 'away'}",italy,serie a,ac-milan,spezia-calcio
19. december 2021,19:45,0:1,{'5': 'away'},italy,serie a,ac-milan,ssc-napoli
26. october 2021,19:45,1:0,{'14': 'home'},italy,serie a,ac-milan,torino-fc
25. february 2022,17:50,1:1,"{'29': 'home', '66': 'away'}",italy,serie a,ac-milan,udinese-calcio
4. december 2021,14:00,2:0,"{'5': 'home', '18': 'home'}",italy,serie a,ac-milan,us-salernitana-1919
22. september 2021,19:45,2:0,"{'68': 'home', '82': 'home'}",italy,serie a,ac-milan,venezia-fc
20. november 2021,19:45,4:3,"{'15': 'home', '45': 'home', '60': 'home', '62': 'away', '67': 'away', '85': 'home', '90': 'away'}",italy,serie a,acf-fiorentina,ac-milan
9. may 2022,19:45,2:0,"{'5': 'home', '11': 'home'}",italy,serie a,acf-fiorentina,as-roma
20. february 2022,11:30,1:0,{'56': 'home'},italy,serie a,acf-fiorentina,atalanta
13. march 2022,11:30,1:0,{'70': 'home'},italy,serie a,acf-fiorentina,bologna-fc
24. october 2021,14:00,3:0,"{'21': 'home', '42': 'home', '49': 'home'}",italy,serie a,acf-fiorentina,cagliari-calcio
3. april 2022,11:30,1:0,{None: 'home'},italy,serie a,acf-fiorentina,empoli-fc
17. january 2022,19:45,6:0,"{'15': 'home', '34': 'home', '42': 'home', '51': 'home', '69': 'home', '77': 'home'}",italy,serie a,acf-fiorentina,genoa-cfc
6. march 2022,14:00,1:1,"{'10': 'home', '20': 'away'}",italy,serie a,acf-fiorentina,hellas-verona
21. september 2021,19:45,1:3,"{'23': 'home', '52': 'away', '55': 'away', '87': 'away'}",italy,serie a,acf-fiorentina,inter
21. may 2022,19:45,2:0,"{'45': 'home', '90': 'home'}",italy,serie a,acf-fiorentina,juventus
5. february 2022,19:45,0:3,"{'52': 'away', '70': 'away', '81': 'away'}",italy,serie a,acf-fiorentina,lazio-roma
30. november 2021,17:30,3:1,"{'15': 'away', '23': 'home', '32': 'home', '45': 'home'}",italy,serie a,acf-fiorentina,sampdoria
19. december 2021,11:30,2:2,"{'32': 'away', '37': 'away', '51': 'home', '61': 'home'}",italy,serie a,acf-fiorentina,sassuolo-calcio
31. october 2021,14:00,3:0,"{'44': 'home', '62': 'home', '74': 'home'}",italy,serie a,acf-fiorentina,spezia-calcio
3. october 2021,17:00,1:2,"{'28': 'home', '38': 'away', '50': 'away'}",italy,serie a,acf-fiorentina,ssc-napoli
28. august 2021,19:45,2:1,"{'41': 'home', '69': 'home', '89': 'away'}",italy,serie a,acf-fiorentina,torino-fc
27. april 2022,17:00,0:4,"{'12': 'away', '36': 'away', '90': 'away'}",italy,serie a,acf-fiorentina,udinese-calcio
11. december 2021,14:00,4:0,"{'31': 'home', '51': 'home', '84': 'home', '90': 'home'}",italy,serie a,acf-fiorentina,us-salernitana-1919
16. april 2022,15:30,1:0,{'30': 'home'},italy,serie a,acf-fiorentina,venezia-fc
31. october 2021,19:45,1:2,"{'25': 'away', '57': 'away', '90': 'home'}",italy,serie a,as-roma,ac-milan
22. august 2021,19:45,3:1,"{'26': 'home', '60': 'away', '64': 'home', '79': 'home'}",italy,serie a,as-roma,acf-fiorentina
5. march 2022,17:00,1:0,{'32': 'home'},italy,serie a,as-roma,atalanta
1. may 2022,19:45,0:0,,italy,serie a,as-roma,bologna-fc
16. january 2022,17:00,1:0,{'33': 'home'},italy,serie a,as-roma,cagliari-calcio
3. october 2021,17:00,2:0,"{'42': 'home', '48': 'home'}",italy,serie a,as-roma,empoli-fc
5. february 2022,14:00,0:0,,italy,serie a,as-roma,genoa-cfc
19. february 2022,17:00,2:2,"{'5': 'away', '20': 'away', '65': 'home', '84': 'home'}",italy,serie a,as-roma,hellas-verona
4. december 2021,17:00,0:3,"{'15': 'away', '24': 'away', '39': 'away'}",italy,serie a,as-roma,inter
9. january 2022,17:30,3:4,"{'11': 'home', '18': 'away', '48': 'home', '53': 'home', '70': 'away', '72': 'away', '77': 'away'}",italy,serie a,as-roma,juventus
20. march 2022,17:00,3:0,"{'1': 'home', '22': 'home', '40': 'home'}",italy,serie a,as-roma,lazio-roma
22. december 2021,17:30,1:1,"{'72': 'home', '80': 'away'}",italy,serie a,as-roma,sampdoria
12. september 2021,19:45,2:1,"{'37': 'home', '57': 'away', '90': 'home'}",italy,serie a,as-roma,sassuolo-calcio
13. december 2021,19:45,2:0,"{'6': 'home', '56': 'home'}",italy,serie a,as-roma,spezia-calcio
24. october 2021,17:00,0:0,,italy,serie a,as-roma,ssc-napoli
28. november 2021,17:00,1:0,{'32': 'home'},italy,serie a,as-roma,torino-fc
23. september 2021,19:45,1:0,{'36': 'home'},italy,serie a,as-roma,udinese-calcio
10. april 2022,17:00,2:1,"{'22': 'away', '81': 'home', '85': 'home'}",italy,serie a,as-roma,us-salernitana-1919
