date,time,final_score,goals,country,league,home,away,season
2022-10-22,17:00,4:1,"{'16': 'home', '41': 'home', '65': 'home', '70': 'away', '84': 'home'}",italy,serie a,Milan,Monza,2022-2023
2022-11-13,17:00,2:1,"{'2': 'home', '28': 'away', '90': 'home'}",italy,serie a,Milan,Fiorentina,2022-2023
2023-01-08,19:45,2:2,"{'30': 'home', '77': 'home', '87': 'away', '90': 'away'}",italy,serie a,Milan,Roma,2022-2023
2023-02-26,19:45,2:0,"{'25': 'home', '86': 'home'}",italy,serie a,Milan,Atalanta,2022-2023
2022-08-27,19:45,2:0,"{'21': 'home', '58': 'home'}",italy,serie a,Milan,Bologna,2022-2023
2023-04-07,20:00,0:0,,italy,serie a,Milan,Empoli,2022-2023
2023-06-04,20:00,3:1,"{'45': 'home', '72': 'away', '85': 'home', '90': 'home'}",italy,serie a,Milan,Verona,2022-2023
2022-09-03,17:00,3:2,"{'21': 'away', '28': 'home', '54': 'home', '60': 'home', '67': 'away'}",italy,serie a,Milan,Inter,2022-2023
2022-10-08,17:00,2:0,"{'45': 'home', '54': 'home'}",italy,serie a,Milan,Juventus,2022-2023
2023-05-06,14:00,2:0,"{'17': 'home', '29': 'home'}",italy,serie a,Milan,Lazio,2022-2023
2023-05-20,19:45,5:1,"{'9': 'home', '20': 'away', '23': 'home', '29': 'home', '63': 'home', '68': 'home'}",italy,serie a,Milan,Sampdoria,2022-2023
2023-01-29,11:30,2:5,"{'19': 'away', '21': 'away', '24': 'home', '30': 'away', '47': 'away', '79': 'away', '81': 'home'}",italy,serie a,Milan,Sassuolo,2022-2023
2022-11-05,19:45,2:1,"{'21': 'home', '59': 'away', '89': 'home'}",italy,serie a,Milan,Spezia,2022-2023
2022-09-18,19:45,1:2,"{'55': 'away', '69': 'home', '78': 'away'}",italy,serie a,Milan,Napoli,2022-2023
2023-02-10,19:45,1:0,{'62': 'home'},italy,serie a,Milan,Torino,2022-2023
2022-08-13,17:30,4:2,"{'2': 'away', '11': 'home', '15': 'home', '45': 'away', '46': 'home', '68': 'home'}",italy,serie a,Milan,Udinese,2022-2023
2023-05-03,20:00,1:1,"{'77': 'away', '90': 'home'}",italy,serie a,Milan,Cremonese,2022-2023
2023-04-23,17:00,2:0,"{'40': 'home', '74': 'home'}",italy,serie a,Milan,Lecce,2022-2023
2023-03-13,19:45,1:1,"{'45': 'home', '61': 'away'}",italy,serie a,Milan,Salernitana,2022-2023
2023-02-18,17:00,0:1,{'31': 'away'},italy,serie a,Monza,Milan,2022-2023
2023-04-23,14:00,3:2,"{'8': 'away', '13': 'away', '26': 'home', '43': 'home', '59': 'home'}",italy,serie a,Monza,Fiorentina,2022-2023
2023-05-03,20:00,1:1,"{'24': 'away', '39': 'home'}",italy,serie a,Monza,Roma,2022-2023
2022-09-05,17:30,0:2,"{'57': 'away', '65': 'away'}",italy,serie a,Monza,Atalanta,2022-2023
2022-10-31,19:45,1:2,"{'57': 'home', '60': 'away', '73': 'away'}",italy,serie a,Monza,Bologna,2022-2023
2023-03-04,14:00,2:1,"{'19': 'home', '51': 'away', '67': 'home'}",italy,serie a,Monza,Empoli,2022-2023
2022-11-06,14:00,2:0,"{'68': 'home', '90': 'home'}",italy,serie a,Monza,Verona,2022-2023
2023-01-07,19:45,2:2,"{'10': 'away', '11': 'home', '22': 'away', '90': 'home'}",italy,serie a,Monza,Inter,2022-2023
2022-09-18,14:00,1:0,{'74': 'home'},italy,serie a,Monza,Juventus,2022-2023
2023-04-02,14:00,0:2,"{'13': 'away', '56': 'away'}",italy,serie a,Monza,Lazio,2022-2023
2023-02-06,19:45,2:2,"{'12': 'away', '32': 'home', '58': 'away', '90': 'home'}",italy,serie a,Monza,Sampdoria,2022-2023
2023-01-22,14:00,1:1,"{'13': 'away', '60': 'home'}",italy,serie a,Monza,Sassuolo,2022-2023
2022-10-09,14:00,2:0,"{'32': 'home', '63': 'home'}",italy,serie a,Monza,Spezia,2022-2023
2023-05-14,14:00,2:0,"{'18': 'home', '54': 'home'}",italy,serie a,Monza,Napoli,2022-2023
2022-08-13,19:45,1:2,"{'43': 'away', '66': 'away', '90': 'home'}",italy,serie a,Monza,Torino,2022-2023
2022-08-26,17:30,1:2,"{'32': 'home', '36': 'away', '77': 'away'}",italy,serie a,Monza,Udinese,2022-2023
2023-03-18,14:00,1:1,"{'61': 'away', '69': 'home'}",italy,serie a,Monza,Cremonese,2022-2023
2023-05-28,14:00,0:1,{'90': 'away'},italy,serie a,Monza,Lecce,2022-2023
2022-11-13,14:00,3:0,"{'24': 'home', '35': 'home', '75': 'home'}",italy,serie a,Monza,Salernitana,2022-2023
2023-03-04,19:45,2:1,"{'49': 'home', '87': 'home', '90': 'away'}",italy,serie a,Fiorentina,Milan,2022-2023
2023-01-04,17:30,1:1,"{'19': 'home', '61': 'away'}",italy,serie a,Fiorentina,Monza,2022-2023
2023-05-27,17:00,2:1,"{'11': 'away', '85': 'home', '88': 'home'}",italy,serie a,Fiorentina,Roma,2022-2023
2023-04-17,19:45,1:1,"{'37': 'away', '56': 'home'}",italy,serie a,Fiorentina,Atalanta,2022-2023
2023-02-05,17:00,1:2,"{'14': 'away', '19': 'home', '47': 'away'}",italy,serie a,Fiorentina,Bologna,2022-2023
2023-02-19,14:00,1:1,"{'28': 'away', '85': 'home'}",italy,serie a,Fiorentina,Empoli,2022-2023
2022-09-18,14:00,2:0,"{'13': 'home', '90': 'home'}",italy,serie a,Fiorentina,Verona,2022-2023
2022-10-22,19:45,3:4,"{'2': 'away', '15': 'away', '33': 'home', '60': 'home', '73': 'away', '90': 'away'}",italy,serie a,Fiorentina,Inter,2022-2023
2022-09-03,14:00,1:1,"{None: 'away', '29': 'home'}",italy,serie a,Fiorentina,Juventus,2022-2023
2022-10-10,19:45,0:4,"{'11': 'away', '25': 'away', '85': 'away', '90': 'away'}",italy,serie a,Fiorentina,Lazio,2022-2023
2023-04-30,17:00,5:0,"{'45': 'home', '62': 'home', '66': 'home', '76': 'home', '88': 'home'}",italy,serie a,Fiorentina,Sampdoria,2022-2023
2023-01-07,14:00,2:1,"{'48': 'home', '57': 'away', '90': 'home'}",italy,serie a,Fiorentina,Sassuolo,2022-2023
2023-04-08,13:30,1:1,"{'25': 'home', '32': 'away'}",italy,serie a,Fiorentina,Spezia,2022-2023
2022-08-28,19:45,0:0,,italy,serie a,Fiorentina,Napoli,2022-2023
2023-01-21,19:45,0:1,{'33': 'away'},italy,serie a,Fiorentina,Torino,2022-2023
2023-05-14,14:00,2:0,"{'7': 'home', '90': 'home'}",italy,serie a,Fiorentina,Udinese,2022-2023
2022-08-14,17:30,3:2,"{'16': 'home', '19': 'away', '34': 'home', '68': 'away', '90': 'home'}",italy,serie a,Fiorentina,Cremonese,2022-2023
2023-03-19,14:00,1:0,{'27': 'home'},italy,serie a,Fiorentina,Lecce,2022-2023
2022-11-09,19:45,2:1,"{'15': 'home', '55': 'away', '81': 'home'}",italy,serie a,Fiorentina,Salernitana,2022-2023
2023-04-29,17:00,1:1,{'90': 'away'},italy,serie a,Roma,Milan,2022-2023
2022-08-30,19:45,3:0,"{'18': 'home', '32': 'home', '61': 'home'}",italy,serie a,Roma,Monza,2022-2023
2023-01-15,19:45,2:0,"{'40': 'home', '82': 'home'}",italy,serie a,Roma,Fiorentina,2022-2023
2022-09-18,17:00,0:1,{'35': 'away'},italy,serie a,Roma,Atalanta,2022-2023
2023-01-04,15:30,1:0,{'6': 'home'},italy,serie a,Roma,Bologna,2022-2023
2023-02-04,17:00,2:0,"{'2': 'home', '6': 'home'}",italy,serie a,Roma,Empoli,2022-2023
2023-02-19,19:45,1:0,{'45': 'home'},italy,serie a,Roma,Verona,2022-2023
2023-05-06,17:00,0:2,"{'33': 'away', '74': 'away'}",italy,serie a,Roma,Inter,2022-2023
2023-03-05,19:45,1:0,{'53': 'home'},italy,serie a,Roma,Juventus,2022-2023
2022-11-06,17:00,0:1,{'29': 'away'},italy,serie a,Roma,Lazio,2022-2023
2023-04-02,17:00,3:0,"{'57': 'home', '88': 'home', '90': 'home'}",italy,serie a,Roma,Sampdoria,2022-2023
2023-03-12,17:00,3:4,"{'13': 'away', '18': 'away', '26': 'home', '45': 'away', '50': 'home', '75': 'away', '90': 'home'}",italy,serie a,Roma,Sassuolo,2022-2023
2023-06-04,20:00,2:1,"{'6': 'away', '43': 'home', '90': 'home'}",italy,serie a,Roma,Spezia,2022-2023
2022-10-23,19:45,0:1,{'80': 'away'},italy,serie a,Roma,Napoli,2022-2023
2022-11-13,14:00,1:1,"{'55': 'away', '90': 'home'}",italy,serie a,Roma,Torino,2022-2023
2023-04-16,19:45,3:0,"{'37': 'home', '55': 'home', '90': 'home'}",italy,serie a,Roma,Udinese,2022-2023
2022-08-22,17:30,1:0,{'65': 'home'},italy,serie a,Roma,Cremonese,2022-2023
2022-10-09,19:45,2:1,"{'6': 'home', '39': 'away', '48': 'home'}",italy,serie a,Roma,Lecce,2022-2023
