date,time,final_score,goals,country,league,home,away
12. december 2021,15:45,1:2,"{'50': 'away', '73': 'home', '83': 'away'}",netherlands,eredivisie,afc-ajax,az-alkmaar
25. september 2021,17:45,3:0,"{'40': 'home', '56': 'home', '81': 'home'}",netherlands,eredivisie,afc-ajax,fc-groningen
13. february 2022,15:45,5:0,"{'31': 'home', '53': 'home', '77': 'home', '85': 'home', '88': 'home'}",netherlands,eredivisie,afc-ajax,fc-twente
3. october 2021,13:30,0:1,{'77': 'away'},netherlands,eredivisie,afc-ajax,fc-utrecht
20. march 2022,13:30,3:2,"{'8': 'away', '24': 'home', '28': 'away', '78': 'home', '86': 'home'}",netherlands,eredivisie,afc-ajax,feyenoord
22. december 2021,20:00,5:0,"{'14': 'home', '22': 'home', '82': 'home', '90': 'home'}",netherlands,eredivisie,afc-ajax,fortuna-sittard
7. november 2021,19:00,0:0,,netherlands,eredivisie,afc-ajax,go-ahead-eagles
6. february 2022,15:45,3:0,"{'22': 'home', '55': 'home', '65': 'home'}",netherlands,eredivisie,afc-ajax,heracles-almelo
14. august 2021,20:00,5:0,"{'6': 'home', '10': 'home', '14': 'home', '20': 'home', '39': 'home'}",netherlands,eredivisie,afc-ajax,nec-nijmegen
30. april 2022,17:45,3:0,"{'30': 'home', '51': 'home', '80': 'home'}",netherlands,eredivisie,afc-ajax,pec-zwolle
24. october 2021,15:45,5:0,"{'19': 'home', '56': 'home', '66': 'home', '76': 'home', '90': 'home'}",netherlands,eredivisie,afc-ajax,psv-eindhoven
6. march 2022,15:45,3:2,"{'33': 'home', '37': 'home', '50': 'away', '57': 'away', '90': 'home'}",netherlands,eredivisie,afc-ajax,rkc-waalwijk
18. september 2021,19:00,9:0,"{'16': 'home', '19': 'home', '29': 'home', '38': 'home', '60': 'home', '64': 'home', '67': 'home', '76': 'home', '84': 'home'}",netherlands,eredivisie,afc-ajax,sc-cambuur
11. may 2022,19:00,5:0,"{'19': 'home', '33': 'home', '38': 'home', '85': 'home', '90': 'home'}",netherlands,eredivisie,afc-ajax,sc-heerenveen
9. april 2022,19:00,2:1,"{'33': 'away', '49': 'home', '62': 'home'}",netherlands,eredivisie,afc-ajax,sparta-rotterdam
29. august 2021,13:30,5:0,"{'5': 'home', '31': 'home', '43': 'home', '60': 'home', '67': 'home'}",netherlands,eredivisie,afc-ajax,vitesse
2. december 2021,20:00,5:0,"{'15': 'home', '18': 'home', '23': 'home', '71': 'home', '76': 'home'}",netherlands,eredivisie,afc-ajax,willem-ii
8. may 2022,13:30,2:2,"{'42': 'away', '62': 'home', '75': 'home', '86': 'away'}",netherlands,eredivisie,az-alkmaar,afc-ajax
21. december 2021,20:00,1:0,{'68': 'home'},netherlands,eredivisie,az-alkmaar,fc-groningen
13. march 2022,19:00,0:1,{'62': 'away'},netherlands,eredivisie,az-alkmaar,fc-twente
17. october 2021,11:15,5:1,"{'6': 'home', '12': 'home', '39': 'home', '56': 'home', '86': 'home', '90': 'away'}",netherlands,eredivisie,az-alkmaar,fc-utrecht
27. february 2022,11:15,2:1,"{'19': 'home', '30': 'home', '52': 'away'}",netherlands,eredivisie,az-alkmaar,feyenoord
2. december 2021,17:45,2:1,"{'9': 'away', '41': 'home', '51': 'home'}",netherlands,eredivisie,az-alkmaar,fortuna-sittard
26. september 2021,13:30,5:0,"{'4': 'home', '29': 'home', '83': 'home', '85': 'home', '90': 'home'}",netherlands,eredivisie,az-alkmaar,go-ahead-eagles
19. february 2022,20:00,2:1,"{'25': 'home', '42': 'away', '48': 'home'}",netherlands,eredivisie,az-alkmaar,heracles-almelo
20. november 2021,19:00,1:1,"{'9': 'away', '90': 'home'}",netherlands,eredivisie,az-alkmaar,nec-nijmegen
30. october 2021,20:00,3:2,"{'5': 'away', '13': 'away', '14': 'home', '38': 'home', '52': 'home'}",netherlands,eredivisie,az-alkmaar,pec-zwolle
11. september 2021,20:00,0:3,"{'14': 'away', '69': 'away', '83': 'away'}",netherlands,eredivisie,az-alkmaar,psv-eindhoven
15. may 2022,13:30,1:3,"{'18': 'away', '45': 'home', '64': 'away', '79': 'away'}",netherlands,eredivisie,az-alkmaar,rkc-waalwijk
22. january 2022,19:00,0:0,,netherlands,eredivisie,az-alkmaar,sc-cambuur
23. april 2022,17:45,2:1,"{'7': 'away', '44': 'home', '87': 'home'}",netherlands,eredivisie,az-alkmaar,sc-heerenveen
5. december 2021,13:30,3:1,"{'19': 'away', '27': 'home', '31': 'home', '58': 'home'}",netherlands,eredivisie,az-alkmaar,sparta-rotterdam
2. april 2022,19:00,3:1,"{'32': 'home', '56': 'home', '63': 'away', '83': 'home'}",netherlands,eredivisie,az-alkmaar,vitesse
18. december 2021,19:00,4:1,"{'8': 'home', '36': 'away', '76': 'home', '86': 'home', '89': 'home'}",netherlands,eredivisie,az-alkmaar,willem-ii
2. april 2022,15:30,1:3,"{'20': 'home', '45': 'away', '90': 'away'}",netherlands,eredivisie,fc-groningen,afc-ajax
24. october 2021,19:00,2:0,"{'20': 'home', '71': 'home'}",netherlands,eredivisie,fc-groningen,az-alkmaar
1. october 2021,19:00,1:1,"{'8': 'home', '74': 'away'}",netherlands,eredivisie,fc-groningen,fc-twente
21. august 2021,20:00,0:0,,netherlands,eredivisie,fc-groningen,fc-utrecht
12. december 2021,13:30,1:1,"{None: 'away', '65': 'home'}",netherlands,eredivisie,fc-groningen,feyenoord
12. february 2022,17:45,0:1,{'82': 'away'},netherlands,eredivisie,fc-groningen,fortuna-sittard
6. february 2022,13:30,2:1,"{'4': 'home', '60': 'away', '69': 'home'}",netherlands,eredivisie,fc-groningen,go-ahead-eagles
24. april 2022,13:30,0:1,{'22': 'away'},netherlands,eredivisie,fc-groningen,heracles-almelo
12. march 2022,17:45,4:3,"{'2': 'home', '13': 'away', '22': 'home', '29': 'away', '32': 'away', '80': 'home', '90': 'home'}",netherlands,eredivisie,fc-groningen,nec-nijmegen
3. december 2021,19:00,1:1,"{'14': 'away', '75': 'home'}",netherlands,eredivisie,fc-groningen,pec-zwolle
16. january 2022,13:30,0:1,{'10': 'away'},netherlands,eredivisie,fc-groningen,psv-eindhoven
7. november 2021,11:15,1:1,"{'14': 'away', '85': 'home'}",netherlands,eredivisie,fc-groningen,rkc-waalwijk
15. may 2022,13:30,2:3,"{'12': 'away', '50': 'away', '58': 'home', '61': 'away', '90': 'home'}",netherlands,eredivisie,fc-groningen,sc-cambuur
