date,time,final_score,goals,country,league,home,away
17. december 2022,12:30,0:1,{'87': 'away'},scotland,premiership,aberdeen-fc,celtic-fc
12. november 2022,18:00,1:0,{'37': 'home'},scotland,premiership,aberdeen-fc,dundee-united
16. october 2022,15:00,2:0,"{'74': 'home', '79': 'home'}",scotland,premiership,aberdeen-fc,heart-of-midlothian
4. november 2022,19:30,4:1,"{'45': 'home', '53': 'home', '61': 'home', '69': 'away', '77': 'home'}",scotland,premiership,aberdeen-fc,hibernian-fc
1. october 2022,15:00,4:1,"{'22': 'home', '24': 'home', '27': 'away', '45': 'home', '63': 'home'}",scotland,premiership,aberdeen-fc,kilmarnock-fc
27. august 2022,15:00,5:0,"{'41': 'home', '58': 'home', '62': 'home', '63': 'home', '87': 'home'}",scotland,premiership,aberdeen-fc,livingston-fc
13. august 2022,15:00,2:3,"{'20': 'away', '42': 'home', '47': 'home', '52': 'away', '55': 'away'}",scotland,premiership,aberdeen-fc,motherwell-fc
20. december 2022,20:00,2:3,"{'12': 'away', '45': 'home', '53': 'home', '90': 'away'}",scotland,premiership,aberdeen-fc,rangers-fc
2. january 2023,15:00,0:0,,scotland,premiership,aberdeen-fc,ross-county-fc
7. january 2023,15:00,2:0,"{'74': 'home', '84': 'home'}",scotland,premiership,aberdeen-fc,st-johnstone-fc
6. august 2022,15:00,4:1,"{'24': 'home', '37': 'home', '45': 'home', '53': 'away', '87': 'home'}",scotland,premiership,aberdeen-fc,st-mirren-fc
31. july 2022,16:30,2:0,"{'3': 'home', '75': 'home'}",scotland,premiership,celtic-fc,aberdeen-fc
5. november 2022,15:00,4:2,"{'6': 'home', '12': 'away', '34': 'home', '87': 'away', '90': 'home'}",scotland,premiership,celtic-fc,dundee-united
21. august 2022,15:00,2:0,"{'13': 'home', '90': 'home'}",scotland,premiership,celtic-fc,heart-of-midlothian
15. october 2022,15:00,6:1,"{'9': 'home', '18': 'home', '24': 'home', '56': 'away', '58': 'home', '73': 'home', '89': 'home'}",scotland,premiership,celtic-fc,hibernian-fc
7. january 2023,15:00,2:0,"{'45': 'home', '51': 'home'}",scotland,premiership,celtic-fc,kilmarnock-fc
21. december 2022,19:45,2:1,"{'23': 'home', '45': 'away'}",scotland,premiership,celtic-fc,livingston-fc
1. october 2022,15:00,2:1,"{'15': 'home', '36': 'away', '64': 'home'}",scotland,premiership,celtic-fc,motherwell-fc
3. september 2022,12:30,4:0,"{'8': 'home', '32': 'home', '40': 'home', '78': 'home'}",scotland,premiership,celtic-fc,rangers-fc
12. november 2022,15:00,2:1,"{'50': 'away', '62': 'home', '68': 'home'}",scotland,premiership,celtic-fc,ross-county-fc
24. december 2022,12:30,4:1,"{'14': 'home', '17': 'home', '40': 'home', '52': 'home', '67': 'away'}",scotland,premiership,celtic-fc,st-johnstone-fc
18. january 2023,19:45,4:0,"{'15': 'home', '35': 'home', '53': 'home', '86': 'home'}",scotland,premiership,celtic-fc,st-mirren-fc
8. october 2022,18:00,4:0,"{'41': 'home', '45': 'home', '73': 'home', '82': 'home'}",scotland,premiership,dundee-united,aberdeen-fc
28. august 2022,12:00,0:9,"{'15': 'away', '40': 'away', '45': 'away', '50': 'away', '55': 'away', '59': 'away', '77': 'away', '81': 'away'}",scotland,premiership,dundee-united,celtic-fc
