date,time,final_score,goals,country,league,home,away,season
2022-04-30,20:00,2:0,"{'8': 'home', '56': 'home'}",spain,la liga,Ath Bilbao,Ath Madrid,2021-2022
2022-05-15,18:30,2:0,"{'33': 'home', '79': 'home'}",spain,la liga,Ath Bilbao,Osasuna,2021-2022
2021-11-05,20:00,0:1,{'6': 'away'},spain,la liga,Ath Bilbao,Cadiz,2021-2022
2021-10-01,20:00,1:0,{'44': 'home'},spain,la liga,Ath Bilbao,Alaves,2021-2022
2022-04-17,17:30,0:2,"{'11': 'away', '37': 'away'}",spain,la liga,Ath Bilbao,Celta,2021-2022
2022-04-03,13:00,2:1,"{'32': 'home', '86': 'home', '90': 'away'}",spain,la liga,Ath Bilbao,Elche,2021-2022
2022-02-07,20:00,2:1,"{'3': 'away', '5': 'home', '16': 'home'}",spain,la liga,Ath Bilbao,Espanol,2021-2022
2021-08-21,21:00,1:1,"{'50': 'home', '75': 'away'}",spain,la liga,Ath Bilbao,Barcelona,2021-2022
2022-03-18,20:00,1:1,"{'3': 'away', '29': 'home'}",spain,la liga,Ath Bilbao,Getafe,2021-2022
2021-11-26,20:00,2:2,"{'10': 'home', '25': 'away', '34': 'away', '76': 'home'}",spain,la liga,Ath Bilbao,Granada,2021-2022
2022-03-07,20:00,3:1,"{'63': 'home', None: 'away', '88': 'home'}",spain,la liga,Ath Bilbao,Levante,2021-2022
2021-09-21,21:00,1:2,"{'5': 'away', '33': 'home', '90': 'away'}",spain,la liga,Ath Bilbao,Vallecano,2021-2022
2021-09-11,20:00,2:0,"{'68': 'home', '74': 'home'}",spain,la liga,Ath Bilbao,Mallorca,2021-2022
2021-12-19,15:15,3:2,"{'2': 'home', '6': 'away', '52': 'away', '72': 'home', '89': 'home'}",spain,la liga,Ath Bilbao,Betis,2021-2022
2021-12-22,20:30,1:2,"{'4': 'away', '7': 'away', '10': 'home'}",spain,la liga,Ath Bilbao,Real Madrid,2021-2022
2022-02-20,20:00,4:0,"{'68': 'home', None: 'home'}",spain,la liga,Ath Bilbao,Sociedad,2021-2022
2021-12-11,20:00,0:1,{'38': 'away'},spain,la liga,Ath Bilbao,Sevilla,2021-2022
2022-05-07,15:15,0:0,,spain,la liga,Ath Bilbao,Valencia,2021-2022
2021-10-23,20:00,2:1,"{'14': 'home', '32': 'away', '77': 'home'}",spain,la liga,Ath Bilbao,Villarreal,2021-2022
2021-09-18,15:15,0:0,,spain,la liga,Ath Madrid,Ath Bilbao,2021-2022
2021-11-20,17:30,1:0,{'87': 'home'},spain,la liga,Ath Madrid,Osasuna,2021-2022
2022-03-11,20:00,2:1,"{'3': 'home', '45': 'away', '68': 'home'}",spain,la liga,Ath Madrid,Cadiz,2021-2022
2022-04-02,20:00,4:1,"{'11': 'home', '63': 'away', '75': 'home', '83': 'home', '90': 'home'}",spain,la liga,Ath Madrid,Alaves,2021-2022
2022-02-26,20:00,2:0,"{'36': 'home', '60': 'home'}",spain,la liga,Ath Madrid,Celta,2021-2022
2021-08-22,18:30,1:0,{'39': 'home'},spain,la liga,Ath Madrid,Elche,2021-2022
