date,time,final_score,goals,country,league,home,away
15. october 2022,20:00,0:1,{'47': 'away'},spain,la liga,athletic-bilbao,atletico-madrid
9. january 2023,20:00,0:0,,spain,la liga,athletic-bilbao,ca-osasuna
3. february 2023,20:00,4:1,"{'10': 'home', '25': 'away', '35': 'home', '44': 'home', '75': 'home'}",spain,la liga,athletic-bilbao,cadiz-cf
20. may 2023,15:15,2:1,"{'5': 'home', '50': 'away', '54': 'home'}",spain,la liga,athletic-bilbao,celta-vigo
28. may 2023,18:00,0:1,{'90': 'away'},spain,la liga,athletic-bilbao,elche-cf
4. september 2022,15:15,0:1,{'83': 'away'},spain,la liga,athletic-bilbao,espanyol-barcelona
12. march 2023,20:00,0:1,{'45': 'away'},spain,la liga,athletic-bilbao,fc-barcelona
1. april 2023,15:15,0:0,,spain,la liga,athletic-bilbao,getafe-cf
26. february 2023,13:00,2:3,"{'4': 'away', '19': 'away', '35': 'home', '45': 'away', '89': 'home'}",spain,la liga,athletic-bilbao,girona-fc
17. september 2022,20:00,3:2,"{'5': 'away', '14': 'home', '28': 'home', '33': 'home', '80': 'away'}",spain,la liga,athletic-bilbao,rayo-vallecano
15. august 2022,16:30,0:0,,spain,la liga,athletic-bilbao,rcd-mallorca
4. may 2023,21:00,0:1,{'6': 'away'},spain,la liga,athletic-bilbao,real-betis
22. january 2023,20:00,0:2,"{'24': 'away', '90': 'away'}",spain,la liga,athletic-bilbao,real-madrid
15. april 2023,15:15,2:0,"{'33': 'home', '70': 'home'}",spain,la liga,athletic-bilbao,real-sociedad
8. november 2022,19:00,3:0,"{'18': 'home', '51': 'home', '78': 'home'}",spain,la liga,athletic-bilbao,real-valladolid
27. april 2023,21:00,0:1,{'90': 'away'},spain,la liga,athletic-bilbao,sevilla-fc
30. september 2022,20:00,4:0,"{'10': 'home', '17': 'home', '62': 'home', '84': 'home'}",spain,la liga,athletic-bilbao,ud-almeria
21. august 2022,16:30,1:0,{None: 'home'},spain,la liga,athletic-bilbao,valencia-cf
30. october 2022,17:30,1:0,{'59': 'home'},spain,la liga,athletic-bilbao,villarreal-cf
19. february 2023,17:30,1:0,{'73': 'home'},spain,la liga,atletico-madrid,athletic-bilbao
21. may 2023,15:15,3:0,"{'44': 'home', '62': 'home', '82': 'home'}",spain,la liga,atletico-madrid,ca-osasuna
3. may 2023,21:00,5:1,"{'2': 'home', '27': 'home', '49': 'home', '57': 'home', '72': 'away', '73': 'home'}",spain,la liga,atletico-madrid,cadiz-cf
10. september 2022,20:00,4:1,"{'9': 'home', '50': 'home', '66': 'home', '71': 'away', '82': 'home'}",spain,la liga,atletico-madrid,celta-vigo
29. december 2022,20:30,2:0,"{'56': 'home', '74': 'home'}",spain,la liga,atletico-madrid,elche-cf
6. november 2022,13:00,1:1,"{'62': 'away', '78': 'home'}",spain,la liga,atletico-madrid,espanyol-barcelona
8. january 2023,20:00,0:1,{'22': 'away'},spain,la liga,atletico-madrid,fc-barcelona
