league,date,home_team,away_team,bookie,market,bet,odds
EPL,2024-01-12T19:45:00Z,Burnley,Luton,888sport,h2h,home wins,1.95
EPL,2024-01-12T19:45:00Z,Burnley,Luton,888sport,h2h,away wins,3.8
EPL,2024-01-12T19:45:00Z,Burnley,Luton,888sport,h2h,draw,3.5
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Sky Bet,h2h,home wins,1.95
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Sky Bet,h2h,away wins,3.8
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Sky Bet,h2h,draw,3.5
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Betfair,h2h,home wins,2.02
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Betfair,h2h,away wins,4.1
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Betfair,h2h,draw,3.75
,,,,,,,
,,,,,,,
,,,,,,,
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Paddy Power,h2h,home wins,1.91
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Paddy Power,h2h,away wins,3.8
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Paddy Power,h2h,draw,3.6
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Betway,h2h,home wins,1.95
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Betway,h2h,away wins,3.75
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Betway,h2h,draw,3.5
EPL,2024-01-12T19:45:00Z,Burnley,Luton,William Hill,h2h,home wins,1.91
EPL,2024-01-12T19:45:00Z,Burnley,Luton,William Hill,h2h,away wins,3.7
EPL,2024-01-12T19:45:00Z,Burnley,Luton,William Hill,h2h,draw,3.6
EPL,2024-01-12T19:45:00Z,Burnley,Luton,BoyleSports,h2h,home wins,1.91
EPL,2024-01-12T19:45:00Z,Burnley,Luton,BoyleSports,h2h,away wins,3.8
EPL,2024-01-12T19:45:00Z,Burnley,Luton,BoyleSports,h2h,draw,3.5
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Matchbook,h2h,home wins,2.02
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Matchbook,h2h,away wins,4.1
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Matchbook,h2h,draw,3.75
,,,,,,,
,,,,,,,
,,,,,,,
EPL,2024-01-12T19:45:00Z,Burnley,Luton,Coral,h2h,home wins,1.95
