match_date,match_time,final_score,home_team,away_team,goals,season,round
29. july 2022,20:00,0:1,Huddersfield Town,Burnley FC,{'18': 'away'},2022-2023,1
30. july 2022,15:00,1:0,Blackburn Rovers,Queens Park Rangers,{'34': 'home'},2022-2023,1
30. july 2022,15:00,1:0,Blackpool FC,Reading FC,{'9': 'home'},2022-2023,1
30. july 2022,15:00,1:0,Cardiff City,Norwich City,{'49': 'home'},2022-2023,1
30. july 2022,15:00,2:0,Millwall FC,Stoke City,"{'12': 'home', '65': 'home'}",2022-2023,1
30. july 2022,15:00,2:1,Hull City,Bristol City,"{'30': 'away', '72': 'home', '90': 'home'}",2022-2023,1
30. july 2022,15:00,0:0,Luton Town,Birmingham City,,2022-2023,1
30. july 2022,15:00,1:1,Rotherham United,Swansea City,"{'16': 'home', '38': 'away'}",2022-2023,1
30. july 2022,15:00,0:0,Wigan Athletic,Preston North End,,2022-2023,1
30. july 2022,17:30,1:1,Middlesbrough FC,West Bromwich Albion,"{'10': 'home', '51': 'away'}",2022-2023,1
31. july 2022,12:00,1:1,Sunderland AFC,Coventry City,"{'12': 'home', '84': 'away'}",2022-2023,1
1. august 2022,20:00,1:0,Watford FC,Sheffield United,{'56': 'home'},2022-2023,1
5. august 2022,19:45,2:1,Birmingham City,Huddersfield Town,"{'5': 'home', '45': 'home', '61': 'away'}",2022-2023,2
6. august 2022,12:30,1:1,Norwich City,Wigan Athletic,"{'29': 'away', '61': 'home'}",2022-2023,2
6. august 2022,15:00,2:3,Bristol City,Sunderland AFC,"{'4': 'away', '10': 'home', '51': 'home', '53': 'away', '72': 'away'}",2022-2023,2
6. august 2022,15:00,1:1,Burnley FC,Luton Town,"{'5': 'away', '50': 'home'}",2022-2023,2
6. august 2022,15:00,2:1,Reading FC,Cardiff City,"{'4': 'away', '27': 'home', '63': 'home'}",2022-2023,2
6. august 2022,15:00,0:0,Preston North End,Hull City,,2022-2023,2
6. august 2022,15:00,3:2,Queens Park Rangers,Middlesbrough FC,"{'13': 'home', None: 'home', '38': 'home', '41': 'away', '56': 'away'}",2022-2023,2
6. august 2022,15:00,2:0,Sheffield United,Millwall FC,"{'7': 'home', '22': 'home'}",2022-2023,2
6. august 2022,15:00,2:0,Stoke City,Blackpool FC,"{'33': 'home', '75': 'home'}",2022-2023,2
6. august 2022,15:00,0:3,Swansea City,Blackburn Rovers,"{'39': 'away', '57': 'away', '84': 'away'}",2022-2023,2
8. august 2022,20:00,1:1,West Bromwich Albion,Watford FC,"{'12': 'away', '45': 'home'}",2022-2023,2
25. october 2022,19:45,2:2,Coventry City,Rotherham United,"{'43': 'away', '76': 'home', '79': 'away', '90': 'home'}",2022-2023,2
12. august 2022,20:00,1:0,Watford FC,Burnley FC,{'45': 'home'},2022-2023,3
13. august 2022,12:30,1:0,Cardiff City,Birmingham City,{'17': 'home'},2022-2023,3
13. august 2022,15:00,2:2,Sunderland AFC,Queens Park Rangers,"{'31': 'home', '40': 'home', '87': 'away', '90': 'away'}",2022-2023,3
13. august 2022,15:00,0:1,Blackpool FC,Swansea City,{'87': 'away'},2022-2023,3
13. august 2022,15:00,3:2,Millwall FC,Coventry City,"{'2': 'away', '28': 'away', '36': 'home', '53': 'home', '85': 'home'}",2022-2023,3
13. august 2022,15:00,3:1,Huddersfield Town,Stoke City,"{'40': 'home', '56': 'away', '77': 'home', '86': 'home'}",2022-2023,3
13. august 2022,15:00,2:1,Hull City,Norwich City,"{'43': 'home', '62': 'home', '72': 'away'}",2022-2023,3
13. august 2022,15:00,0:1,Luton Town,Preston North End,{'18': 'away'},2022-2023,3
13. august 2022,15:00,4:0,Rotherham United,Reading FC,"{'7': 'home', '15': 'home', '18': 'home', '45': 'home'}",2022-2023,3
13. august 2022,15:00,1:1,Wigan Athletic,Bristol City,"{'6': 'away', '67': 'home'}",2022-2023,3
14. august 2022,14:00,2:2,Middlesbrough FC,Sheffield United,"{'3': 'away', '14': 'home', '68': 'away', '82': 'home'}",2022-2023,3
14. august 2022,15:00,2:1,Blackburn Rovers,West Bromwich Albion,"{'41': 'home', '47': 'home', '59': 'away'}",2022-2023,3
16. august 2022,19:45,1:1,Birmingham City,Watford FC,"{'19': 'home', '63': 'away'}",2022-2023,4
16. august 2022,19:45,2:0,Bristol City,Luton Town,"{'5': 'home', '27': 'home'}",2022-2023,4
16. august 2022,19:45,1:1,Burnley FC,Hull City,"{'25': 'away', '34': 'home'}",2022-2023,4
16. august 2022,19:45,2:1,Norwich City,Huddersfield Town,"{'6': 'home', '16': 'home', '81': 'away'}",2022-2023,4
16. august 2022,19:45,0:0,Preston North End,Rotherham United,,2022-2023,4
16. august 2022,19:45,2:2,Swansea City,Millwall FC,"{'1': 'home', '12': 'home', '90': 'away'}",2022-2023,4
16. august 2022,20:00,0:1,Queens Park Rangers,Blackpool FC,{'45': 'away'},2022-2023,4
17. august 2022,19:45,2:2,Stoke City,Middlesbrough FC,"{'19': 'home', '38': 'away', '63': 'away', '90': 'home'}",2022-2023,4
17. august 2022,20:00,2:1,Sheffield United,Sunderland AFC,"{'33': 'home', '47': 'home', '55': 'away'}",2022-2023,4
17. august 2022,20:00,3:0,Reading FC,Blackburn Rovers,"{'14': 'home', '61': 'home', '78': 'home'}",2022-2023,4
17. august 2022,20:00,0:0,West Bromwich Albion,Cardiff City,,2022-2023,4
8. november 2022,19:45,2:0,Coventry City,Wigan Athletic,"{'77': 'home', '90': 'home'}",2022-2023,4
19. august 2022,20:00,2:0,Norwich City,Millwall FC,"{'50': 'home', '75': 'home'}",2022-2023,5
20. august 2022,15:00,0:1,Birmingham City,Wigan Athletic,{'82': 'away'},2022-2023,5
20. august 2022,15:00,3:3,Burnley FC,Blackpool FC,"{'3': 'home', '11': 'home', '21': 'away', '33': 'home', '74': 'away', '76': 'away'}",2022-2023,5
20. august 2022,15:00,1:0,Reading FC,Middlesbrough FC,{'28': 'home'},2022-2023,5
20. august 2022,15:00,0:0,Preston North End,Watford FC,,2022-2023,5
20. august 2022,15:00,1:1,Queens Park Rangers,Rotherham United,"{'33': 'away', '43': 'home'}",2022-2023,5
20. august 2022,15:00,3:0,Sheffield United,Blackburn Rovers,"{'31': 'home', None: 'home', '79': 'home'}",2022-2023,5
20. august 2022,15:00,0:1,Stoke City,Sunderland AFC,{'45': 'away'},2022-2023,5
20. august 2022,15:00,0:2,Swansea City,Luton Town,"{'14': 'away', '72': 'away'}",2022-2023,5
20. august 2022,15:00,5:2,West Bromwich Albion,Hull City,"{'37': 'home', '48': 'home', '55': 'home', '70': 'home', '77': 'away', '85': 'home', '90': 'away'}",2022-2023,5
21. august 2022,12:00,2:0,Bristol City,Cardiff City,"{'41': 'home', '64': 'home'}",2022-2023,5
28. january 2023,15:00,2:0,Coventry City,Huddersfield Town,"{'53': 'home', '71': 'home'}",2022-2023,5
26. august 2022,20:00,1:1,Luton Town,Sheffield United,"{'10': 'home', '53': 'away'}",2022-2023,6
27. august 2022,12:30,0:1,Sunderland AFC,Norwich City,{'76': 'away'},2022-2023,6
27. august 2022,15:00,0:1,Blackburn Rovers,Stoke City,{'27': 'away'},2022-2023,6
27. august 2022,15:00,3:3,Blackpool FC,Bristol City,"{'7': 'home', '44': 'away', '55': 'home', '63': 'away', '70': 'away', '90': 'home'}",2022-2023,6
