match_date,match_time,final_score,home_team,away_team,goals,season,round
3. august 2019,12:30,2:0,Salford City,Stevenage FC,{None: 'home'},2019-2020,1
3. august 2019,15:00,0:0,Bradford City,Cambridge United,,2019-2020,1
3. august 2019,15:00,2:1,Carlisle United,Crawley Town,{None: 'home'},2019-2020,1
3. august 2019,15:00,1:1,Colchester United,Port Vale FC,"{'5': 'away', None: 'home'}",2019-2020,1
3. august 2019,15:00,0:3,Crewe Alexandra,Plymouth Argyle,{None: 'away'},2019-2020,1
3. august 2019,15:00,1:0,Exeter City,Macclesfield Town,{None: 'home'},2019-2020,1
3. august 2019,15:00,1:0,Forest Green Rovers,Oldham Athletic,{None: 'home'},2019-2020,1
3. august 2019,15:00,1:0,Leyton Orient,Cheltenham Town,{None: 'home'},2019-2020,1
3. august 2019,15:00,0:2,Morecambe FC,Grimsby Town,{None: 'away'},2019-2020,1
3. august 2019,15:00,2:2,Newport County,Mansfield Town,"{None: 'away', '34': 'home'}",2019-2020,1
3. august 2019,15:00,0:1,Northampton Town,Walsall FC,{None: 'away'},2019-2020,1
3. august 2019,15:00,0:2,Scunthorpe United,Swindon Town,{None: 'away'},2019-2020,1
10. august 2019,13:00,1:1,Grimsby Town,Bradford City,{None: 'home'},2019-2020,2
10. august 2019,15:00,0:0,Cambridge United,Newport County,,2019-2020,2
10. august 2019,15:00,4:1,Cheltenham Town,Scunthorpe United,"{None: 'home', '90': 'home'}",2019-2020,2
10. august 2019,15:00,2:0,Crawley Town,Salford City,"{'36': 'home', None: 'home'}",2019-2020,2
10. august 2019,15:00,3:0,Macclesfield Town,Leyton Orient,{None: 'home'},2019-2020,2
10. august 2019,15:00,2:2,Mansfield Town,Morecambe FC,{None: 'home'},2019-2020,2
10. august 2019,15:00,1:2,Oldham Athletic,Crewe Alexandra,"{None: 'away', '41': 'away'}",2019-2020,2
10. august 2019,15:00,1:0,Plymouth Argyle,Colchester United,{None: 'home'},2019-2020,2
10. august 2019,15:00,1:1,Port Vale FC,Northampton Town,{None: 'away'},2019-2020,2
10. august 2019,15:00,0:1,Stevenage FC,Exeter City,{None: 'away'},2019-2020,2
10. august 2019,15:00,3:2,Swindon Town,Carlisle United,{None: 'away'},2019-2020,2
10. august 2019,15:00,1:1,Walsall FC,Forest Green Rovers,{None: 'home'},2019-2020,2
17. august 2019,15:00,3:0,Bradford City,Oldham Athletic,{None: 'home'},2019-2020,3
17. august 2019,15:00,0:2,Carlisle United,Mansfield Town,{None: 'away'},2019-2020,3
17. august 2019,15:00,1:2,Colchester United,Cambridge United,"{'9': 'home', None: 'away'}",2019-2020,3
17. august 2019,15:00,1:0,Crewe Alexandra,Walsall FC,{None: 'home'},2019-2020,3
17. august 2019,15:00,1:1,Exeter City,Swindon Town,{None: 'away'},2019-2020,3
17. august 2019,15:00,1:0,Forest Green Rovers,Grimsby Town,{None: 'home'},2019-2020,3
17. august 2019,15:00,0:0,Leyton Orient,Stevenage FC,,2019-2020,3
17. august 2019,15:00,0:0,Morecambe FC,Cheltenham Town,,2019-2020,3
17. august 2019,15:00,1:0,Newport County,Plymouth Argyle,{None: 'home'},2019-2020,3
17. august 2019,15:00,1:2,Northampton Town,Macclesfield Town,{None: 'away'},2019-2020,3
17. august 2019,15:00,1:1,Salford City,Port Vale FC,{None: 'home'},2019-2020,3
17. august 2019,15:00,2:2,Scunthorpe United,Crawley Town,{None: 'away'},2019-2020,3
20. august 2019,19:45,3:2,Cambridge United,Scunthorpe United,{None: 'home'},2019-2020,4
20. august 2019,19:45,2:0,Cheltenham Town,Carlisle United,{None: 'home'},2019-2020,4
20. august 2019,19:45,1:2,Crawley Town,Crewe Alexandra,{None: 'away'},2019-2020,4
20. august 2019,19:45,2:2,Grimsby Town,Colchester United,"{None: 'home', '48': 'home'}",2019-2020,4
20. august 2019,19:45,0:1,Macclesfield Town,Morecambe FC,{None: 'away'},2019-2020,4
20. august 2019,19:45,2:3,Mansfield Town,Leyton Orient,"{'12': 'home', '29': 'home', None: 'away'}",2019-2020,4
20. august 2019,19:45,0:0,Oldham Athletic,Exeter City,,2019-2020,4
20. august 2019,19:45,2:2,Plymouth Argyle,Salford City,"{None: 'away', '89': 'home'}",2019-2020,4
20. august 2019,19:45,2:1,Port Vale FC,Forest Green Rovers,{None: 'home'},2019-2020,4
20. august 2019,19:45,0:1,Stevenage FC,Bradford City,{'42': 'away'},2019-2020,4
20. august 2019,19:45,0:1,Swindon Town,Northampton Town,{None: 'away'},2019-2020,4
20. august 2019,19:45,0:0,Walsall FC,Newport County,,2019-2020,4
24. august 2019,15:00,0:1,Bradford City,Forest Green Rovers,{None: 'away'},2019-2020,5
24. august 2019,15:00,1:2,Cambridge United,Oldham Athletic,{None: 'away'},2019-2020,5
24. august 2019,15:00,2:2,Carlisle United,Salford City,"{None: 'home', '33': 'away'}",2019-2020,5
24. august 2019,15:00,2:2,Cheltenham Town,Swindon Town,{None: 'home'},2019-2020,5
24. august 2019,15:00,1:0,Colchester United,Northampton Town,{'66': 'home'},2019-2020,5
24. august 2019,15:00,5:2,Grimsby Town,Port Vale FC,"{'13': 'away', None: 'home'}",2019-2020,5
24. august 2019,15:00,2:3,Leyton Orient,Crawley Town,"{None: 'away', '53': 'home'}",2019-2020,5
24. august 2019,15:00,1:0,Macclesfield Town,Scunthorpe United,{'54': 'home'},2019-2020,5
24. august 2019,15:00,0:0,Mansfield Town,Stevenage FC,,2019-2020,5
24. august 2019,15:00,2:3,Morecambe FC,Exeter City,{None: 'away'},2019-2020,5
24. august 2019,15:00,1:0,Newport County,Crewe Alexandra,{None: 'home'},2019-2020,5
24. august 2019,15:00,3:0,Plymouth Argyle,Walsall FC,{None: 'home'},2019-2020,5
31. august 2019,15:00,1:0,Crawley Town,Cheltenham Town,{None: 'home'},2019-2020,6
31. august 2019,15:00,2:1,Crewe Alexandra,Bradford City,{None: 'home'},2019-2020,6
31. august 2019,15:00,1:0,Exeter City,Mansfield Town,{None: 'home'},2019-2020,6
31. august 2019,15:00,0:2,Forest Green Rovers,Newport County,{None: 'away'},2019-2020,6
31. august 2019,15:00,3:1,Northampton Town,Plymouth Argyle,"{'7': 'home', None: 'home'}",2019-2020,6
31. august 2019,15:00,0:1,Oldham Athletic,Colchester United,{None: 'away'},2019-2020,6
31. august 2019,15:00,1:0,Port Vale FC,Cambridge United,{'84': 'home'},2019-2020,6
31. august 2019,15:00,1:1,Salford City,Leyton Orient,"{None: 'home', '87': 'away'}",2019-2020,6
31. august 2019,15:00,0:1,Scunthorpe United,Carlisle United,{None: 'away'},2019-2020,6
31. august 2019,15:00,2:2,Stevenage FC,Macclesfield Town,"{None: 'home', '85': 'away'}",2019-2020,6
31. august 2019,15:00,3:1,Swindon Town,Morecambe FC,{None: 'home'},2019-2020,6
31. august 2019,15:00,1:3,Walsall FC,Grimsby Town,"{None: 'away', '81': 'away'}",2019-2020,6
7. september 2019,15:00,2:1,Bradford City,Northampton Town,"{None: 'home', '77': 'home'}",2019-2020,7
7. september 2019,15:00,0:1,Cambridge United,Forest Green Rovers,{None: 'away'},2019-2020,7
7. september 2019,15:00,1:3,Carlisle United,Exeter City,{None: 'away'},2019-2020,7
7. september 2019,15:00,4:2,Cheltenham Town,Stevenage FC,{None: 'home'},2019-2020,7
7. september 2019,15:00,0:0,Colchester United,Walsall FC,,2019-2020,7
7. september 2019,15:00,0:2,Grimsby Town,Crewe Alexandra,{None: 'away'},2019-2020,7
7. september 2019,15:00,1:3,Leyton Orient,Swindon Town,"{None: 'home', '43': 'away'}",2019-2020,7
7. september 2019,15:00,1:1,Macclesfield Town,Crawley Town,{None: 'away'},2019-2020,7
7. september 2019,15:00,2:0,Mansfield Town,Scunthorpe United,{None: 'home'},2019-2020,7
7. september 2019,15:00,2:2,Morecambe FC,Salford City,{None: 'away'},2019-2020,7
7. september 2019,15:00,1:0,Newport County,Port Vale FC,{None: 'home'},2019-2020,7
7. september 2019,15:00,2:2,Plymouth Argyle,Oldham Athletic,{None: 'away'},2019-2020,7
14. september 2019,15:00,1:0,Crawley Town,Mansfield Town,{None: 'home'},2019-2020,8
14. september 2019,15:00,2:3,Crewe Alexandra,Cambridge United,"{None: 'away', '72': 'away'}",2019-2020,8
14. september 2019,15:00,2:2,Exeter City,Leyton Orient,"{None: 'away', '90': 'home'}",2019-2020,8
14. september 2019,15:00,1:0,Forest Green Rovers,Colchester United,{'31': 'home'},2019-2020,8
14. september 2019,15:00,2:0,Northampton Town,Newport County,{None: 'home'},2019-2020,8
14. september 2019,15:00,2:2,Oldham Athletic,Grimsby Town,{None: 'away'},2019-2020,8
14. september 2019,15:00,1:0,Port Vale FC,Plymouth Argyle,{None: 'home'},2019-2020,8
14. september 2019,15:00,0:2,Salford City,Cheltenham Town,{None: 'away'},2019-2020,8
14. september 2019,15:00,3:0,Scunthorpe United,Morecambe FC,{None: 'home'},2019-2020,8
14. september 2019,15:00,2:3,Stevenage FC,Carlisle United,{None: 'away'},2019-2020,8
14. september 2019,15:00,3:0,Swindon Town,Macclesfield Town,{None: 'home'},2019-2020,8
14. september 2019,15:00,0:1,Walsall FC,Bradford City,{'83': 'away'},2019-2020,8
17. september 2019,19:45,0:0,Carlisle United,Forest Green Rovers,,2019-2020,9
17. september 2019,19:45,3:2,Cheltenham Town,Bradford City,{None: 'home'},2019-2020,9
17. september 2019,19:45,2:2,Crawley Town,Plymouth Argyle,"{None: 'away', '85': 'home'}",2019-2020,9
17. september 2019,19:45,2:0,Exeter City,Port Vale FC,"{None: 'home', '89': 'home'}",2019-2020,9
17. september 2019,19:45,1:2,Leyton Orient,Crewe Alexandra,{None: 'away'},2019-2020,9
17. september 2019,19:45,1:1,Macclesfield Town,Newport County,{None: 'home'},2019-2020,9
17. september 2019,19:45,0:4,Mansfield Town,Cambridge United,"{None: 'away', '90': 'away'}",2019-2020,9
17. september 2019,19:45,0:1,Morecambe FC,Walsall FC,{None: 'away'},2019-2020,9
17. september 2019,19:45,1:0,Salford City,Grimsby Town,{None: 'home'},2019-2020,9
17. september 2019,19:45,2:2,Scunthorpe United,Oldham Athletic,{None: 'home'},2019-2020,9
17. september 2019,19:45,0:1,Stevenage FC,Northampton Town,{None: 'away'},2019-2020,9
