match_date,match_time,final_score,home_team,away_team,season,round,goals
30. july 2022,15:00,0:0,Bradford City,Doncaster Rovers,2022-2023,1,
30. july 2022,15:00,1:0,Carlisle United,Crawley Town,2022-2023,1,{None: 'home'}
30. july 2022,15:00,4:0,Walsall FC,Hartlepool United,2022-2023,1,{None: 'home'}
30. july 2022,15:00,3:0,Harrogate Town,Swindon Town,2022-2023,1,{None: 'home'}
30. july 2022,15:00,2:0,Leyton Orient,Grimsby Town,2022-2023,1,"{'49': 'home', None: 'home'}"
30. july 2022,15:00,3:2,Northampton Town,Colchester United,2022-2023,1,"{None: 'home', '42': 'away', '74': 'home'}"
30. july 2022,15:00,1:2,Rochdale AFC,Crewe Alexandra,2022-2023,1,{None: 'home'}
30. july 2022,15:00,2:0,Salford City,Mansfield Town,2022-2023,1,{None: 'home'}
30. july 2022,15:00,2:3,Stockport County,Barrow AFC,2022-2023,1,{None: 'home'}
30. july 2022,15:00,1:1,Sutton United,Newport County,2022-2023,1,{None: 'away'}
30. july 2022,15:00,1:2,Tranmere Rovers,Stevenage FC,2022-2023,1,{None: 'away'}
30. july 2022,15:00,2:0,AFC Wimbledon,Gillingham FC,2022-2023,1,{None: 'home'}
6. august 2022,15:00,3:2,Barrow AFC,Bradford City,2022-2023,2,"{None: 'home', '90': 'home'}"
6. august 2022,15:00,1:1,Colchester United,Carlisle United,2022-2023,2,{None: 'away'}
6. august 2022,15:00,0:1,Crawley Town,Leyton Orient,2022-2023,2,{None: 'away'}
6. august 2022,15:00,3:0,Crewe Alexandra,Harrogate Town,2022-2023,2,"{None: 'home', '45': 'home'}"
6. august 2022,15:00,2:1,Doncaster Rovers,Sutton United,2022-2023,2,"{None: 'away', '90': 'home'}"
6. august 2022,15:00,1:0,Gillingham FC,Rochdale AFC,2022-2023,2,{None: 'home'}
6. august 2022,15:00,2:1,Stevenage FC,Stockport County,2022-2023,2,"{None: 'away', '88': 'home', '90': 'home'}"
6. august 2022,15:00,1:1,Grimsby Town,Northampton Town,2022-2023,2,{None: 'home'}
6. august 2022,15:00,0:0,Hartlepool United,AFC Wimbledon,2022-2023,2,
6. august 2022,15:00,1:0,Mansfield Town,Tranmere Rovers,2022-2023,2,{None: 'home'}
6. august 2022,15:00,0:1,Newport County,Walsall FC,2022-2023,2,{'63': 'away'}
6. august 2022,15:00,0:0,Swindon Town,Salford City,2022-2023,2,
13. august 2022,15:00,2:0,Bradford City,Newport County,2022-2023,3,{None: 'home'}
13. august 2022,15:00,1:1,Carlisle United,Swindon Town,2022-2023,3,{None: 'home'}
13. august 2022,15:00,1:1,Walsall FC,Stevenage FC,2022-2023,3,"{None: 'home', '90': 'away'}"
13. august 2022,15:00,0:0,Harrogate Town,Crawley Town,2022-2023,3,
13. august 2022,15:00,1:0,Leyton Orient,Mansfield Town,2022-2023,3,{None: 'home'}
13. august 2022,15:00,2:1,Northampton Town,Hartlepool United,2022-2023,3,"{None: 'home', '45': 'away'}"
13. august 2022,15:00,0:1,Rochdale AFC,Grimsby Town,2022-2023,3,{'90': 'away'}
13. august 2022,15:00,3:0,Salford City,Crewe Alexandra,2022-2023,3,{None: 'home'}
13. august 2022,15:00,1:0,Stockport County,Colchester United,2022-2023,3,{None: 'home'}
13. august 2022,15:00,1:0,Sutton United,Barrow AFC,2022-2023,3,{None: 'home'}
13. august 2022,15:00,3:0,Tranmere Rovers,Gillingham FC,2022-2023,3,{None: 'home'}
13. august 2022,15:00,2:2,AFC Wimbledon,Doncaster Rovers,2022-2023,3,"{None: 'away', '90': 'away'}"
16. august 2022,19:45,2:1,Barrow AFC,Walsall FC,2022-2023,4,{None: 'away'}
16. august 2022,19:45,1:0,Colchester United,Bradford City,2022-2023,4,{'90': 'home'}
16. august 2022,19:45,2:3,Crawley Town,Northampton Town,2022-2023,4,"{None: 'home', '90': 'away'}"
16. august 2022,19:45,1:0,Crewe Alexandra,Sutton United,2022-2023,4,{None: 'home'}
16. august 2022,19:45,0:2,Gillingham FC,Harrogate Town,2022-2023,4,{None: 'away'}
16. august 2022,19:45,1:0,Stevenage FC,Rochdale AFC,2022-2023,4,{None: 'home'}
16. august 2022,19:45,0:0,Hartlepool United,Tranmere Rovers,2022-2023,4,
16. august 2022,19:45,5:2,Mansfield Town,AFC Wimbledon,2022-2023,4,"{None: 'home', '32': 'home'}"
16. august 2022,19:45,2:3,Newport County,Salford City,2022-2023,4,"{None: 'away', '57': 'away'}"
16. august 2022,19:45,1:1,Swindon Town,Leyton Orient,2022-2023,4,{None: 'away'}
16. august 2022,19:45,2:1,Doncaster Rovers,Stockport County,2022-2023,4,"{None: 'away', '90': 'home'}"
27. september 2022,19:45,1:2,Grimsby Town,Carlisle United,2022-2023,4,{None: 'home'}
20. august 2022,13:00,1:3,Hartlepool United,Bradford City,2022-2023,5,"{None: 'away', '90': 'away'}"
20. august 2022,15:00,1:0,Barrow AFC,Harrogate Town,2022-2023,5,{None: 'home'}
20. august 2022,15:00,1:3,Colchester United,Leyton Orient,2022-2023,5,"{'16': 'away', None: 'away', '90': 'home'}"
20. august 2022,15:00,0:2,Crawley Town,AFC Wimbledon,2022-2023,5,"{None: 'away', '45': 'away'}"
20. august 2022,15:00,2:2,Crewe Alexandra,Northampton Town,2022-2023,5,"{None: 'away', '90': 'away'}"
20. august 2022,15:00,2:1,Doncaster Rovers,Salford City,2022-2023,5,"{None: 'home', '45': 'home'}"
20. august 2022,15:00,0:0,Gillingham FC,Walsall FC,2022-2023,5,
20. august 2022,15:00,2:1,Stevenage FC,Carlisle United,2022-2023,5,"{None: 'home', '45': 'away'}"
20. august 2022,15:00,0:0,Grimsby Town,Sutton United,2022-2023,5,
20. august 2022,15:00,2:1,Mansfield Town,Stockport County,2022-2023,5,{None: 'home'}
20. august 2022,15:00,2:1,Newport County,Tranmere Rovers,2022-2023,5,"{'23': 'away', None: 'home', '38': 'home'}"
20. august 2022,15:00,3:0,Swindon Town,Rochdale AFC,2022-2023,5,{None: 'home'}
