match_date,match_time,final_score,home_team,away_team,goals,season,round
5. august 2023,15:00,3:0,Accrington Stanley,Newport County,"{None: 'home', '90': 'home'}",2023-2024,1
5. august 2023,15:00,1:0,Crawley Town,Bradford City,{None: 'home'},2023-2024,1
5. august 2023,15:00,2:2,Crewe Alexandra,Mansfield Town,{None: 'home'},2023-2024,1
5. august 2023,15:00,0:1,Doncaster Rovers,Harrogate Town,{'66': 'away'},2023-2024,1
5. august 2023,15:00,2:1,Morecambe FC,Walsall FC,"{None: 'away', '90': 'home'}",2023-2024,1
5. august 2023,15:00,0:2,Forest Green Rovers,Salford City,"{None: 'away', '90': 'away'}",2023-2024,1
5. august 2023,15:00,0:0,Grimsby Town,AFC Wimbledon,,2023-2024,1
5. august 2023,15:00,0:1,Stockport County,Gillingham FC,{None: 'away'},2023-2024,1
5. august 2023,15:00,5:1,Sutton United,Notts County,{None: 'home'},2023-2024,1
5. august 2023,15:00,1:2,Tranmere Rovers,Barrow AFC,"{None: 'away', '63': 'home'}",2023-2024,1
5. august 2023,15:00,3:5,Wrexham AFC,Milton Keynes Dons,"{'6': 'away', None: 'home', '90': 'home'}",2023-2024,1
7. november 2023,19:45,3:1,Colchester United,Swindon Town,"{None: 'home', '49': 'home', '90': 'home'}",2023-2024,1
12. august 2023,15:00,2:1,Barrow AFC,Sutton United,{None: 'home'},2023-2024,2
12. august 2023,15:00,2:1,Bradford City,Colchester United,{None: 'home'},2023-2024,2
12. august 2023,15:00,1:0,Gillingham FC,Accrington Stanley,{None: 'home'},2023-2024,2
12. august 2023,15:00,2:1,Walsall FC,Stockport County,"{None: 'home', '90': 'away'}",2023-2024,2
12. august 2023,15:00,0:1,Harrogate Town,Forest Green Rovers,{None: 'away'},2023-2024,2
12. august 2023,15:00,3:0,Mansfield Town,Morecambe FC,"{'45': 'home', None: 'home', '87': 'home'}",2023-2024,2
12. august 2023,15:00,1:0,Milton Keynes Dons,Tranmere Rovers,{None: 'home'},2023-2024,2
12. august 2023,15:00,4:0,Newport County,Doncaster Rovers,"{None: 'home', '21': 'home'}",2023-2024,2
12. august 2023,15:00,3:2,Notts County,Grimsby Town,"{None: 'home', '45': 'away', '50': 'home'}",2023-2024,2
12. august 2023,15:00,1:1,Salford City,Crawley Town,"{'40': 'away', None: 'home'}",2023-2024,2
12. august 2023,15:00,2:2,Swindon Town,Crewe Alexandra,{None: 'away'},2023-2024,2
12. august 2023,15:00,1:1,AFC Wimbledon,Wrexham AFC,"{None: 'away', '81': 'home'}",2023-2024,2
15. august 2023,19:45,1:1,Accrington Stanley,Barrow AFC,{None: 'away'},2023-2024,3
15. august 2023,19:45,0:2,Colchester United,AFC Wimbledon,{None: 'away'},2023-2024,3
15. august 2023,19:45,2:1,Crawley Town,Milton Keynes Dons,{None: 'home'},2023-2024,3
15. august 2023,19:45,4:2,Crewe Alexandra,Newport County,"{None: 'away', '66': 'home'}",2023-2024,3
15. august 2023,19:45,2:2,Doncaster Rovers,Mansfield Town,{None: 'away'},2023-2024,3
15. august 2023,19:45,0:0,Morecambe FC,Notts County,,2023-2024,3
15. august 2023,19:45,1:2,Forest Green Rovers,Swindon Town,"{None: 'away', '90': 'away'}",2023-2024,3
15. august 2023,19:45,2:0,Grimsby Town,Salford City,{None: 'home'},2023-2024,3
15. august 2023,19:45,1:1,Stockport County,Bradford City,{None: 'home'},2023-2024,3
15. august 2023,19:45,0:1,Sutton United,Gillingham FC,{None: 'away'},2023-2024,3
15. august 2023,19:45,3:0,Tranmere Rovers,Harrogate Town,{None: 'home'},2023-2024,3
15. august 2023,19:45,4:2,Wrexham AFC,Walsall FC,"{None: 'home', '90': 'away'}",2023-2024,3
19. august 2023,15:00,2:1,Accrington Stanley,Harrogate Town,"{None: 'away', '90': 'home'}",2023-2024,4
19. august 2023,15:00,2:3,Colchester United,Milton Keynes Dons,"{None: 'away', '90': 'away'}",2023-2024,4
19. august 2023,15:00,0:1,Crawley Town,Gillingham FC,{'40': 'away'},2023-2024,4
19. august 2023,15:00,2:2,Crewe Alexandra,Walsall FC,"{None: 'home', '90': 'home'}",2023-2024,4
19. august 2023,15:00,1:3,Doncaster Rovers,Notts County,"{None: 'away', '90': 'home'}",2023-2024,4
19. august 2023,15:00,3:0,Morecambe FC,Bradford City,"{None: 'home', '86': 'home'}",2023-2024,4
19. august 2023,15:00,0:3,Forest Green Rovers,Newport County,"{None: 'away', '88': 'away'}",2023-2024,4
19. august 2023,15:00,1:1,Grimsby Town,Mansfield Town,{None: 'away'},2023-2024,4
19. august 2023,15:00,1:0,Stockport County,Barrow AFC,{None: 'home'},2023-2024,4
